File Name,brakes_DATA_MAX_TORQUE,brakes_DATA_FRONT_SHARE,drivetrain_DIFFERENTIAL_POWER,drivetrain_DIFFERENTIAL_COAST,drivetrain_DIFFERENTIAL_PRELOAD,suspensions_BASIC_WHEELBASE,suspensions_BASIC_CG_LOCATION,suspensions_ARB_FRONT,suspensions_ARB_REAR,suspensions_FRONT_TRACK,suspensions_FRONT_ROD_LENGTH,suspensions_FRONT_TOE_OUT,suspensions_FRONT_STATIC_CAMBER,suspensions_FRONT_SPRING_RATE,suspensions_FRONT_BUMP_STOP_RATE,suspensions_FRONT_PACKER_RANGE,suspensions_FRONT_DAMP_BUMP,suspensions_FRONT_DAMP_FAST_BUMP,suspensions_FRONT_DAMP_REBOUND,suspensions_FRONT_DAMP_FAST_REBOUND,suspensions_REAR_TRACK,suspensions_REAR_ROD_LENGTH,suspensions_REAR_TOE_OUT,suspensions_REAR_STATIC_CAMBER,suspensions_REAR_SPRING_RATE,suspensions_REAR_BUMP_STOP_RATE,suspensions_REAR_PACKER_RANGE,suspensions_REAR_DAMP_BUMP,suspensions_REAR_DAMP_FAST_BUMP,suspensions_REAR_DAMP_REBOUND,suspensions_REAR_DAMP_FAST_REBOUND,tyres_FRONT_PRESSURE_STATIC,tyres_REAR_PRESSURE_STATIC,Fastest Lap
input0_46.csv,734.22773,0.73039,0.39342,0.9557,19.78418,1.56621,0.39609,30082.51727,61527.37125,1.39359,0.02088,0.00212,-0.73928,33864.03452,60942.65312,0.07268,2125.43182,3187.8054,2204.87776,2071.56655,1.14699,0.01847,0.00022,0.2182,42989.81891,188560.92372,0.04105,3472.79464,1710.34267,3404.45812,2501.80886,19.10862,18.65337,41468
input0_47.csv,648.49328,0.81348,0.50404,0.73443,12.92232,1.89008,0.51677,119933.89612,68898.83723,1.02367,0.01057,0.00387,-2.67515,27455.0199,59610.8383,0.05986,2874.6623,726.90354,2925.21018,2842.07741,1.39686,0.01175,0.00203,-2.01537,58930.4271,83705.55188,0.05615,1566.5759,2013.29308,3901.26197,3158.40597,16.51876,6.28915,52692
input0_48.csv,770.81856,0.54533,0.22195,0.7542,8.60383,1.70042,0.5089,31760.20838,122923.21036,1.23135,0.02597,0.0031,-0.51418,28340.99878,89495.14521,0.10015,2206.31965,1836.4675,3455.50471,889.67717,1.3379,0.01858,0.00039,-1.59307,63145.8632,114441.43382,0.10182,1559.58971,3401.91656,4279.71677,813.80657,8.38538,6.97863,41973
input0_49.csv,752.55748,0.80196,0.74217,0.88911,7.46477,1.87568,0.36596,63978.27746,114278.47275,1.14035,0.01975,0.00163,-2.78704,37429.04196,162590.42309,0.11774,3378.42812,2869.86734,1507.97539,2435.92652,1.03393,0.01926,0.00091,0.09435,59647.04996,54564.35686,0.11328,3444.46193,660.39702,4368.23644,1497.97695,16.47489,9.79383,41562
input0_50.csv,666.36269,0.76315,0.58579,0.42714,10.13462,1.57249,0.46477,77100.43484,120185.73177,1.1521,0.00504,0.00361,-1.9852,28377.41471,144604.4379,0.08516,1972.46135,2098.73586,2290.78352,3337.92665,1.24194,0.00541,0.00365,-1.61895,55360.22156,70589.12132,0.08101,3402.35898,602.93357,3530.31009,2314.02937,6.31958,17.23205,44468
input1_00.csv,660.66825,0.82604,0.24308,0.55555,10.94631,1.85893,0.4959,117708.50869,140774.32526,1.13853,0.02958,0.00114,0.29269,27188.65652,53831.13967,0.09052,3406.44172,1223.56761,2945.9835,506.31886,1.22345,0.01046,0.00021,-2.35767,56648.86635,124979.65621,0.08939,1161.13758,3342.89845,3747.30276,3478.35963,9.18841,14.31058,41199
input1_01.csv,599.83376,0.60502,0.51992,0.30154,21.66873,1.59306,0.41744,144832.77726,136642.45685,1.24441,0.02156,-0.00086,-1.67101,25791.26623,100676.69174,0.04914,3202.89962,953.79245,3409.56255,577.81253,1.07385,0.02438,0.0015,0.1899,38966.78534,159836.41493,0.10686,3552.29348,1410.80971,3758.61619,983.95638,8.274,9.81609,41011
input1_02.csv,512.11284,0.79993,0.1581,0.75376,9.83527,1.78683,0.48527,93210.79399,16220.24463,1.31551,0.0133,-0.00033,-2.72994,42395.0676,167928.56809,0.05264,3079.77834,602.53371,1563.35225,1303.55554,1.18377,0.02311,0.00357,-2.2849,32616.45189,123228.2879,0.07226,3242.07085,3075.06164,2599.79682,2264.71948,16.88308,8.8092,40054
input1_03.csv,485.03536,0.81692,8e-05,0.57575,14.62933,1.53058,0.4838,55766.89741,48524.83048,1.01441,0.01304,0.00166,-0.44387,25282.03815,168150.92137,0.04071,2276.42988,2464.72665,3807.56762,1877.30226,1.14421,0.00428,-0.00067,-2.76203,58242.31692,96726.79853,0.09294,1870.64248,2491.4981,2034.9184,1483.13125,9.68051,12.92179,42527
input1_04.csv,725.93433,0.77412,0.69636,0.24366,18.47897,1.88474,0.5064,68423.47673,20802.14394,1.33248,0.01689,0.00332,-1.38919,32106.82026,84766.00823,0.09942,3333.46833,3304.07562,2530.37351,2431.25385,1.36009,0.02692,0.0024,-0.07012,58068.43487,118771.56881,0.09652,3490.94529,1593.3485,3068.3339,2472.19277,11.20927,16.6901,40105
input1_05.csv,541.20363,0.69341,0.1959,0.11286,12.77691,1.60346,0.49,94146.14829,74404.52643,1.39535,0.0176,0.00056,-1.9901,41776.76282,124159.34744,0.05395,3287.18226,1347.91081,3700.36885,2395.52052,1.17427,0.01102,0.00083,-2.68041,45347.6523,87121.76036,0.07773,1719.15342,1061.31004,2706.93983,2620.11388,16.92035,8.46028,40863
input1_06.csv,576.93504,0.617,0.19107,0.34379,5.14274,1.78803,0.51131,124043.0707,126059.60866,1.05304,0.02931,0.00143,-2.46511,22849.20998,145648.27876,0.10959,1114.0672,925.04749,3197.62937,3109.36711,1.34056,0.02798,0.00274,-1.47251,28835.06241,69424.86003,0.07744,2167.87607,3452.00436,3352.92147,2952.4411,9.23417,16.31221,43067
input1_07.csv,515.02317,0.72148,0.14179,0.44479,13.38187,1.61927,0.56136,95003.30505,29915.04216,1.00157,0.02949,0.00244,-2.05468,29079.74862,115773.38459,0.09661,1701.84083,2037.53908,1540.13923,1869.39906,1.24281,0.0151,0.00377,-0.92028,52851.95702,69021.92954,0.06348,2422.51758,3059.63861,3174.3201,934.26723,15.35652,16.45031,41409
input1_08.csv,413.70248,0.69498,0.51526,0.22771,7.26717,1.57667,0.41456,127446.3061,119004.50049,1.18411,0.0179,0.00264,-0.79521,21518.07726,150815.13223,0.10848,1409.42186,1993.75582,3160.08413,2728.48012,1.26214,0.02402,0.00061,-0.67446,42477.73919,115336.49693,0.07988,3920.87374,3030.11949,1705.4301,2543.60907,16.2586,6.16511,41109
input1_09.csv,554.69234,0.59068,0.32203,0.48069,4.43188,1.60063,0.44484,114413.12725,39651.98136,1.16567,0.00652,-0.00055,-2.11415,22461.12337,178429.69885,0.05354,2779.61189,670.01133,2366.45191,938.19716,1.21507,0.02197,0.00025,-1.17404,53725.57582,134740.07233,0.07082,3997.25146,3259.05668,3804.2529,692.76856,6.53877,12.26168,42016
input1_10.csv,785.92862,0.55658,0.85452,0.81115,7.43212,1.71844,0.36391,73269.28244,28198.58532,1.1057,0.01787,0.00212,-2.63165,26215.73422,118803.40484,0.07731,1204.83446,935.99637,3197.92621,934.30618,1.14915,0.01304,0.00248,0.14773,23675.7008,129563.34635,0.07323,1207.89969,1325.13247,1625.62216,3007.54559,9.67085,13.34858,41151
input1_11.csv,471.39516,0.76948,0.94697,0.22468,0.53002,1.59058,0.54909,133492.74613,85543.05861,1.33475,0.0149,0.00078,-0.44305,27026.43556,72340.0385,0.11005,2395.67392,3474.77394,2393.22403,654.3826,1.01623,0.00856,0.00392,-0.5415,56382.04069,140626.93747,0.11385,3643.84833,2631.52688,3200.08832,802.53388,9.48519,15.95766,43404
input1_12.csv,659.49448,0.76458,0.91789,0.59726,10.1037,1.5887,0.48463,66950.42992,136291.48049,1.05093,0.01305,0.00361,-2.75948,36116.6266,146422.77743,0.09882,2377.80933,2163.65215,1684.49014,2207.33416,1.04739,0.00701,0.00035,-0.53963,61145.72259,101125.98075,0.11558,3379.38485,1826.8333,3044.74437,2175.76297,9.55251,15.22723,40708
input1_13.csv,755.68993,0.63295,0.74631,0.03452,10.09457,1.87714,0.42203,80073.55155,148873.84336,1.34058,0.0242,0.00155,-1.98756,36137.2315,128693.53797,0.08253,3165.49147,2526.44476,1691.68398,1562.51525,1.22738,0.00883,0.00179,-1.86809,47296.26137,125728.40751,0.09751,2303.10734,1111.82958,1779.36715,1330.29161,12.30874,15.58564,44232
input1_14.csv,568.16345,0.8368,0.52673,0.77058,23.62815,1.57055,0.4823,125187.22664,25218.17635,1.11915,0.01728,0.00368,-2.82934,22680.94754,163591.10603,0.07131,2690.50358,1658.92638,2215.0761,2624.84434,1.16276,0.00217,-0.00098,-0.04674,46380.82365,85369.6186,0.04512,3115.49092,1950.86787,2854.78794,2146.14981,14.88126,12.67166,40468
input1_15.csv,541.28129,0.68714,0.38648,0.11387,22.45902,1.66828,0.55759,84037.95803,91717.12864,1.11342,0.01449,0.00188,-0.74503,37490.71336,158885.81663,0.06644,2239.02225,3135.49082,3990.68808,952.78528,1.17885,0.00465,-0.00089,0.32795,48929.69638,100556.75938,0.0442,1805.31808,535.46631,2895.11961,1045.00927,13.25014,15.62418,40265
input1_16.csv,751.86397,0.69631,0.196,0.18443,9.25381,1.72868,0.48034,72088.28898,135702.30087,1.32744,0.02864,0.00098,-0.42331,33618.21695,79315.63763,0.09817,3395.36519,1405.4899,3795.83379,1881.43675,1.25597,0.02062,0.00313,0.03758,29982.75754,161895.0658,0.07628,3090.24789,1951.35656,1958.32684,2716.45689,12.86594,13.85508,40502
input1_17.csv,514.2062,0.73735,0.16633,0.40017,22.66155,1.78351,0.57411,99651.54872,126023.94383,1.24925,0.00435,0.0001,-1.72028,27423.77033,144969.93298,0.08188,3277.10609,2073.18263,1797.87602,2349.47948,1.32014,0.01298,0.00378,0.18434,58727.02818,198248.07042,0.10173,1894.21735,958.08475,4470.88993,948.76111,11.4658,9.31563,40233
input1_18.csv,630.80227,0.66317,0.25803,0.58033,8.70231,1.55719,0.58362,25009.67519,10087.71662,1.38531,0.02,-0.00047,-1.90424,40950.33623,184147.96597,0.0858,3357.76102,2315.49577,2969.12837,2972.36186,1.21004,0.00881,-9e-05,-1.09259,26721.59598,82965.553,0.11493,3135.9692,1909.22352,3108.96125,2421.08164,6.23409,7.112,41053
input1_19.csv,788.73007,0.61336,0.09547,0.07991,12.66379,1.81708,0.35084,115644.85562,7649.25943,1.33924,0.02468,-0.00136,-0.18812,43961.05963,73438.77613,0.08564,3210.73289,2795.36664,1505.45069,591.83633,1.2127,0.01215,0.00019,-1.57887,59087.97216,105392.37135,0.06432,3538.71689,2374.89822,3623.78447,1553.43584,16.05069,12.96261,40618
