Output_File,AvgSlip,ARB_Rear
VLoutput0_00.csv,-0.7665457080965676,116229.74284
VLoutput0_01.csv,-0.3566763602577105,38378.25963
VLoutput0_02.csv,-0.33193023262460264,93092.18708
VLoutput0_03.csv,-0.6824149923665351,58038.35129
VLoutput0_04.csv,0.14981819106134459,111316.07174
VLoutput0_05.csv,-0.08654265945879969,114673.73996
VLoutput0_06.csv,0.15460139117628455,101613.56953
VLoutput0_07.csv,-0.3191477705971447,65548.18589
VLoutput0_08.csv,-0.4566184776522373,35996.12435
VLoutput0_09.csv,-0.34922381689264853,88446.58263
VLoutput0_10.csv,-0.8494446754538205,99241.02041
VLoutput0_11.csv,0.10790263127076137,85240.55424
VLoutput0_12.csv,0.049501259582596595,92439.81635
VLoutput0_13.csv,0.1621890407392485,149351.40601
VLoutput0_14.csv,-0.1635508461667262,65041.92753
VLoutput0_15.csv,-0.7094391965285078,139349.13614
VLoutput0_16.csv,-0.48220039318931235,33555.97081
VLoutput0_17.csv,-0.09024940962461311,31878.18447
VLoutput0_18.csv,0.06749899986058362,41010.89235
VLoutput0_19.csv,0.13031485568332507,70880.85946
VLoutput0_20.csv,-0.9019601239162786,61384.01034
VLoutput0_21.csv,-0.18099283305301067,114999.93222
VLoutput0_22.csv,0.17941902635455234,149916.24946
VLoutput0_23.csv,-0.9903179428710979,42089.2595
VLoutput0_24.csv,-0.5443064771292524,73324.91316
VLoutput0_25.csv,-0.26038973608707133,122619.79812
VLoutput0_26.csv,-0.07261216284903924,94381.69051
VLoutput0_27.csv,-0.2558581702696515,126133.00747
VLoutput0_28.csv,0.08702388234069196,106221.99738
VLoutput0_29.csv,-0.12916073257127397,82222.49951
VLoutput0_30.csv,-0.45370034845006496,138254.93708
VLoutput0_31.csv,-0.30173127251356785,36860.67928
VLoutput0_32.csv,-0.28194007494745066,40821.02577
VLoutput0_33.csv,-0.9047880175293189,78546.3954
VLoutput0_34.csv,-0.4185052205974309,2931.3103
VLoutput0_35.csv,-0.5026542588628994,29255.5684
VLoutput0_36.csv,-0.48543259831499175,88037.87544
VLoutput0_37.csv,0.021244416922917286,130832.20295
VLoutput0_38.csv,-0.6815323859537852,95343.75804
VLoutput0_39.csv,-0.16335825848818922,94444.24917
VLoutput0_40.csv,-1.3217369437453403,137331.82539
VLoutput0_41.csv,-0.03751040256963019,95120.98908
VLoutput0_42.csv,-0.4267006219248281,63392.96008
VLoutput0_43.csv,-0.17740467417806605,110810.78819
VLoutput0_44.csv,0.2644734035837894,69335.66446
VLoutput0_45.csv,-0.46964643126702244,137616.44266
VLoutput0_46.csv,0.15791471406625635,61527.37125
VLoutput0_48.csv,-0.2503633828874758,122923.21036
VLoutput0_49.csv,0.41582615330205164,114278.47275
VLoutput1_01.csv,-0.6728573404958127,136642.45685
VLoutput1_02.csv,-0.29280382389633025,16220.24463
VLoutput1_03.csv,-0.14570400207608952,48524.83048
VLoutput1_04.csv,-0.22870788154586594,20802.14394
VLoutput1_05.csv,-0.42131514080887816,74404.52643
VLoutput1_06.csv,-0.269472098123778,126059.60866
VLoutput1_07.csv,0.2789456873492121,29915.04216
VLoutput1_08.csv,-0.8223877700650474,119004.50049
VLoutput1_09.csv,-0.11538050100349072,39651.98136
VLoutput1_10.csv,-0.9434270481798874,28198.58532
VLoutput1_11.csv,0.08838748845581858,85543.05861
VLoutput1_12.csv,-0.20204237585606838,136291.48049
VLoutput1_13.csv,-0.03734549717935698,148873.84336
VLoutput1_14.csv,-0.42078785068671554,25218.17635
VLoutput1_15.csv,-0.4467980460774846,91717.12864
VLoutput1_16.csv,-0.9628661545824263,135702.30087
VLoutput1_17.csv,-0.9527469801874952,126023.94383
VLoutput1_18.csv,0.17124750802763267,10087.71662
VLoutput1_19.csv,0.0033261705038731357,7649.25943
VLoutput1_20.csv,-0.004419371952873166,30992.66235
VLoutput1_21.csv,-0.6810630325861037,25396.37531
VLoutput1_22.csv,-0.7270813560465557,117165.02169
VLoutput1_23.csv,-0.30739866677933797,49374.85828
VLoutput1_24.csv,-0.08525534780175974,145077.26412
VLoutput1_25.csv,-0.20521525298218798,17395.15084
VLoutput1_26.csv,-0.10841555858288128,121074.19681
VLoutput1_27.csv,0.028740560639223704,141651.4757
VLoutput1_28.csv,0.22330979450522856,35079.16725
VLoutput1_29.csv,-0.7417405804732858,84256.26164
VLoutput1_30.csv,-0.6147547219077921,146716.00515
VLoutput1_31.csv,0.22285221544206085,68007.91234
