Output_File,AvgSlip,Front_Rebound
VLoutput0_00.csv,2.8795993673056794,2076.67589
VLoutput0_01.csv,2.697372449715449,2924.77146
VLoutput0_02.csv,4.733755134922692,3949.10207
VLoutput0_03.csv,5.303136073706629,3284.6256
VLoutput0_04.csv,,3335.99431
VLoutput0_05.csv,5.708001197714822,2080.08929
VLoutput0_06.csv,2.363202729673863,1811.34167
VLoutput0_07.csv,5.9099406268163,1865.94156
VLoutput0_08.csv,4.43797721502955,3766.94158
VLoutput0_09.csv,4.588165743920932,2874.42982
VLoutput0_10.csv,3.51657752129401,2554.83572
VLoutput0_11.csv,2.7988347458689202,3207.21805
VLoutput0_12.csv,2.3042841508924132,3664.0234
VLoutput0_13.csv,4.675139208557897,2371.93386
VLoutput0_14.csv,6.248351694063422,3444.0874
VLoutput0_15.csv,6.543325090813827,1936.00338
VLoutput0_16.csv,3.3760715300938244,1810.99733
VLoutput0_17.csv,6.49128214246036,1883.9747
VLoutput0_18.csv,5.965371144217818,2378.22013
VLoutput0_19.csv,6.16073928170314,2597.61163
VLoutput0_20.csv,3.786235619237902,2845.4325
VLoutput0_21.csv,6.786339749197299,3022.03413
VLoutput0_22.csv,7.712646004428628,1886.38105
VLoutput0_23.csv,3.4765620596786464,3390.31466
VLoutput0_24.csv,2.5600328671937236,2256.07479
VLoutput0_25.csv,3.5774547450438043,3773.94707
VLoutput0_26.csv,4.30536727086172,3786.17673
VLoutput0_27.csv,2.5125405989096836,3478.22032
VLoutput0_28.csv,7.974091886772448,2951.24533
VLoutput0_29.csv,5.043891762891751,2880.18688
VLoutput0_30.csv,9.11271657713853,2603.14681
VLoutput0_31.csv,9.415064864044007,2636.28222
VLoutput0_32.csv,2.5235019193353128,3953.3514
VLoutput0_33.csv,3.298322744518206,2341.38334
VLoutput0_34.csv,5.606000031663765,1835.40394
VLoutput0_35.csv,3.3477344740846537,3220.74203
VLoutput0_36.csv,2.429930924121649,3264.31824
VLoutput0_37.csv,2.6914411118713493,3350.01448
VLoutput0_38.csv,3.5109995663742932,1629.14167
VLoutput0_39.csv,7.055926264539736,3287.35956
VLoutput0_40.csv,4.246700729506306,2794.63032
VLoutput0_41.csv,7.084144266587737,1721.14482
VLoutput0_42.csv,4.109151665819534,2072.03356
VLoutput0_43.csv,3.9870550742664825,2361.60078
VLoutput0_44.csv,2.2714598818486595,2592.51694
VLoutput0_45.csv,3.0371660922689476,3969.41599
VLoutput0_46.csv,6.844137648246244,2204.87776
VLoutput0_48.csv,6.032396882573841,3455.50471
VLoutput0_49.csv,4.880838738213712,1507.97539
VLoutput1_01.csv,3.3727067861763818,3409.56255
VLoutput1_02.csv,2.667216299674364,1563.35225
VLoutput1_03.csv,6.7514523489548655,3807.56762
VLoutput1_04.csv,3.7603202492140015,2530.37351
VLoutput1_05.csv,3.1711074443674754,3700.36885
VLoutput1_06.csv,6.59996402262151,3197.62937
VLoutput1_07.csv,7.843112158487729,1540.13923
VLoutput1_08.csv,3.843816261019307,3160.08413
VLoutput1_09.csv,6.188494459447185,2366.45191
VLoutput1_10.csv,4.073202312495117,3197.92621
VLoutput1_11.csv,6.881623547956546,2393.22403
VLoutput1_12.csv,,1684.49014
VLoutput1_13.csv,4.765445487485092,1691.68398
VLoutput1_14.csv,5.301316898874478,2215.0761
VLoutput1_15.csv,5.1678894876458354,3990.68808
VLoutput1_16.csv,3.353630298071381,3795.83379
VLoutput1_17.csv,3.701912973726395,1797.87602
VLoutput1_18.csv,2.1515134322337546,2969.12837
VLoutput1_19.csv,4.145813272243406,1505.45069
VLoutput1_20.csv,6.979890788923059,1824.28779
VLoutput1_21.csv,3.5845525653292833,3706.0638
VLoutput1_22.csv,3.296171521112369,3123.47153
VLoutput1_23.csv,7.082824779007353,2174.92938
VLoutput1_24.csv,2.829763959636525,2203.36444
VLoutput1_25.csv,7.836096486800243,3652.30083
VLoutput1_26.csv,3.573740064841657,3707.71141
VLoutput1_27.csv,2.9300340283146995,1716.83219
VLoutput1_28.csv,5.207316454628087,1673.1496
VLoutput1_29.csv,2.969124327076735,3217.8921
VLoutput1_30.csv,3.068006781747386,2653.69241
VLoutput1_31.csv,2.432794151290106,2327.22353
