Output_File,AvgSlip,Diff_Coast
VLoutput0_00.csv,2.879599367,0.25441
VLoutput0_01.csv,2.69737245,0.05902
VLoutput0_02.csv,4.733755135,0.56922
VLoutput0_03.csv,5.303136074,0.21448
VLoutput0_04.csv,,0.46672
VLoutput0_05.csv,5.708001198,0.64174
VLoutput0_06.csv,2.36320273,0.89537
VLoutput0_07.csv,5.909940627,0.07759
VLoutput0_08.csv,4.437977215,0.13361
VLoutput0_09.csv,4.588165744,0.25316
VLoutput0_10.csv,3.516577521,0.12652
VLoutput0_11.csv,2.798834746,0.47134
VLoutput0_12.csv,2.304284151,0.6858
VLoutput0_13.csv,4.675139209,0.2589
VLoutput0_14.csv,6.248351694,0.7292
VLoutput0_15.csv,6.543325091,0.5255
VLoutput0_16.csv,3.37607153,0.83219
VLoutput0_17.csv,6.491282142,0.69602
VLoutput0_18.csv,5.965371144,0.37812
VLoutput0_19.csv,6.160739282,0.90718
VLoutput0_20.csv,3.786235619,0.91846
VLoutput0_21.csv,6.786339749,0.81549
VLoutput0_22.csv,7.712646004,0.71728
VLoutput0_23.csv,3.47656206,0.76765
VLoutput0_24.csv,2.560032867,0.68551
VLoutput0_25.csv,3.577454745,0.57824
VLoutput0_26.csv,4.305367271,0.01687
VLoutput0_27.csv,2.512540599,0.81491
VLoutput0_28.csv,7.974091887,0.08745
VLoutput0_29.csv,5.043891763,0.98718
VLoutput0_30.csv,9.112716577,0.38731
VLoutput0_31.csv,9.415064864,0.99766
VLoutput0_32.csv,2.523501919,0.212
VLoutput0_33.csv,3.298322745,0.29646
VLoutput0_34.csv,5.606000032,0.10962
VLoutput0_35.csv,3.347734474,0.71476
VLoutput0_36.csv,2.429930924,0.63076
VLoutput0_37.csv,2.691441112,0.56811
VLoutput0_38.csv,3.510999566,0.58511
VLoutput0_39.csv,7.055926265,0.36639
VLoutput0_40.csv,4.24670073,0.23386
VLoutput0_41.csv,7.084144267,0.2035
VLoutput0_42.csv,4.109151666,0.93199
VLoutput0_43.csv,3.987055074,0.46405
VLoutput0_44.csv,2.271459882,0.87826
VLoutput0_45.csv,3.037166092,0.99175
VLoutput0_46.csv,6.844137648,0.9557
VLoutput0_48.csv,6.032396883,0.7542
VLoutput0_49.csv,4.880838738,0.88911
VLoutput1_01.csv,3.372706786,0.30154
VLoutput1_02.csv,2.6672163,0.75376
VLoutput1_03.csv,6.751452349,0.57575
VLoutput1_04.csv,3.760320249,0.24366
VLoutput1_05.csv,3.171107444,0.11286
VLoutput1_06.csv,6.599964023,0.34379
VLoutput1_07.csv,7.843112158,0.44479
VLoutput1_08.csv,3.843816261,0.22771
VLoutput1_09.csv,6.188494459,0.48069
VLoutput1_10.csv,4.073202312,0.81115
VLoutput1_11.csv,6.881623548,0.22468
VLoutput1_12.csv,,0.59726
VLoutput1_13.csv,4.765445487,0.03452
VLoutput1_14.csv,5.301316899,0.77058
VLoutput1_15.csv,5.167889488,0.11387
VLoutput1_16.csv,3.353630298,0.18443
VLoutput1_17.csv,3.701912974,0.40017
VLoutput1_18.csv,2.151513432,0.58033
VLoutput1_19.csv,4.145813272,0.07991
VLoutput1_20.csv,6.979890789,0.63298
VLoutput1_21.csv,3.584552565,0.06738
VLoutput1_22.csv,3.296171521,0.23782
VLoutput1_23.csv,7.082824779,0.79296
VLoutput1_24.csv,2.82976396,0.5111
VLoutput1_25.csv,7.836096487,0.31125
VLoutput1_26.csv,3.573740065,0.39824
VLoutput1_27.csv,2.930034028,0.82422
VLoutput1_28.csv,5.207316455,0.47577
VLoutput1_29.csv,2.969124327,0.82146
VLoutput1_30.csv,3.068006782,0.03211
VLoutput1_31.csv,2.432794151,0.44903
