Output_File,AvgSlip,ARB_Front&DiffCoast
VLoutput0_00.csv,2.8795993673056794,27339.3288632802
VLoutput0_01.csv,2.697372449715449,8516.519700473202
VLoutput0_02.csv,4.733755134922692,5903.080367834399
VLoutput0_03.csv,5.303136073706629,14270.125725844802
VLoutput0_04.csv,,54480.810563512
VLoutput0_05.csv,5.708001197714822,45727.2570572994
VLoutput0_06.csv,2.363202729673863,57800.0007641966
VLoutput0_07.csv,5.9099406268163,2540.959901392
VLoutput0_08.csv,4.43797721502955,7365.220011982
VLoutput0_09.csv,4.588165743920932,731.3630073808
VLoutput0_10.csv,3.51657752129401,6949.5177693912
VLoutput0_11.csv,2.7988347458689202,29470.4850980954
VLoutput0_12.csv,2.3042841508924132,23627.863388069996
VLoutput0_13.csv,4.675139208557897,2293.0188533250002
VLoutput0_14.csv,6.248351694063422,71675.068217476
VLoutput0_15.csv,6.543325090813827,11492.22101503
VLoutput0_16.csv,3.3760715300938244,47325.1111161255
VLoutput0_17.csv,6.49128214246036,28969.8687700526
VLoutput0_18.csv,5.965371144217818,28917.367765933202
VLoutput0_19.csv,6.16073928170314,32276.086121426
VLoutput0_20.csv,3.786235619237902,34110.9079042282
VLoutput0_21.csv,6.786339749197299,100468.2712339566
VLoutput0_22.csv,7.712646004428628,29456.641371096
VLoutput0_23.csv,3.4765620596786464,49098.919071449
VLoutput0_24.csv,2.5600328671937236,19573.9102623995
VLoutput0_25.csv,3.5774547450438043,34670.1300008544
VLoutput0_26.csv,4.30536727086172,909.409635806
VLoutput0_27.csv,2.5125405989096836,48731.2827867715
VLoutput0_28.csv,7.974091886772448,13093.82595576
VLoutput0_29.csv,5.043891762891751,32739.350034240597
VLoutput0_30.csv,9.11271657713853,22846.1552338019
VLoutput0_31.csv,9.415064864044007,120439.6302092702
VLoutput0_32.csv,2.5235019193353128,1527.92476336
VLoutput0_33.csv,3.298322744518206,7468.5086976906
VLoutput0_34.csv,5.606000031663765,2617.4714131439996
VLoutput0_35.csv,3.3477344740846537,84694.90610078399
VLoutput0_36.csv,2.429930924121649,80824.3348964688
VLoutput0_37.csv,2.6914411118713493,45149.3684552046
VLoutput0_38.csv,3.5109995663742932,34668.5725294446
VLoutput0_39.csv,7.055926264539736,24358.6310731911
VLoutput0_40.csv,4.246700729506306,9014.382700096401
VLoutput0_41.csv,7.084144266587737,29990.342355984998
VLoutput0_42.csv,4.109151665819534,66511.12183057661
VLoutput0_43.csv,3.9870550742664825,60608.047325482505
VLoutput0_44.csv,2.2714598818486595,124997.0618857146
VLoutput0_45.csv,3.0371660922689476,132403.527041735
VLoutput0_46.csv,6.844137648246244,28749.861754939
VLoutput0_48.csv,6.032396882573841,23953.549160196
VLoutput0_49.csv,4.880838738213712,56883.7262724606
VLoutput1_01.csv,3.3727067861763818,43672.875654980395
VLoutput1_02.csv,2.667216299674364,70258.5680779024
VLoutput1_03.csv,6.7514523489548655,32107.791183807498
VLoutput1_04.csv,3.7603202492140015,16672.064340031797
VLoutput1_05.csv,3.1711074443674754,10625.3342960094
VLoutput1_06.csv,6.59996402262151,42644.767275952996
VLoutput1_07.csv,7.843112158487729,42256.5200531895
VLoutput1_08.csv,3.843816261019307,29020.798362031
VLoutput1_09.csv,6.188494459447185,54997.246137802504
VLoutput1_10.csv,4.073202312495117,59432.378451206
VLoutput1_11.csv,6.881623547956546,29993.150200488402
VLoutput1_12.csv,,39986.813774019196
VLoutput1_13.csv,4.765445487485092,2764.1389995060003
VLoutput1_14.csv,5.301316898874478,96466.7731042512
VLoutput1_15.csv,5.1678894876458354,9569.4022808761
VLoutput1_16.csv,3.353630298071381,13295.2431365814
VLoutput1_17.csv,3.701912973726395,39877.560251282404
VLoutput1_18.csv,2.1515134322337546,14513.8648030127
VLoutput1_19.csv,4.145813272243406,9241.1804125942
VLoutput1_20.csv,6.979890788923059,38656.4237122716
VLoutput1_21.csv,3.5845525653292833,9841.177720067999
VLoutput1_22.csv,3.296171521112369,28012.4564753176
VLoutput1_23.csv,7.082824779007353,68638.8895614912
VLoutput1_24.csv,2.829763959636525,20282.637792617
VLoutput1_25.csv,7.836096486800243,1414.3742726625
VLoutput1_26.csv,3.573740064841657,8064.2760350784
VLoutput1_27.csv,2.9300340283146995,121773.70707526259
VLoutput1_28.csv,5.207316454628087,68170.2780887145
VLoutput1_29.csv,2.969124327076735,71809.33784187719
VLoutput1_30.csv,3.068006781747386,3019.913537706
VLoutput1_31.csv,2.432794151290106,34263.6721697844
