parameter,value
brakes_DATA_MAX_TORQUE,659.32858
brakes_DATA_FRONT_SHARE,0.56206
drivetrain_DIFFERENTIAL_POWER,0.31126
drivetrain_DIFFERENTIAL_COAST,0.56811
drivetrain_DIFFERENTIAL_PRELOAD,20.94061
suspensions_BASIC_WHEELBASE,1.86706
suspensions_BASIC_CG_LOCATION,0.35269
suspensions_ARB_FRONT,79472.93386
suspensions_ARB_REAR,130832.20295
suspensions_FRONT_TRACK,1.1926
suspensions_FRONT_ROD_LENGTH,0.02445
suspensions_FRONT_TOE_OUT,-0.00083
suspensions_FRONT_STATIC_CAMBER,-0.2269
suspensions_FRONT_SPRING_RATE,22304.49167
suspensions_FRONT_BUMP_STOP_RATE,73876.11172
suspensions_FRONT_PACKER_RANGE,0.0718
suspensions_FRONT_DAMP_BUMP,3236.78179
suspensions_FRONT_DAMP_FAST_BUMP,2564.5949
suspensions_FRONT_DAMP_REBOUND,3350.01448
suspensions_FRONT_DAMP_FAST_REBOUND,2201.90871
suspensions_REAR_TRACK,1.32654
suspensions_REAR_ROD_LENGTH,0.00882
suspensions_REAR_TOE_OUT,0.00277
suspensions_REAR_STATIC_CAMBER,-0.60055
suspensions_REAR_SPRING_RATE,48835.12118
suspensions_REAR_BUMP_STOP_RATE,152198.1646
suspensions_REAR_PACKER_RANGE,0.09055
suspensions_REAR_DAMP_BUMP,3024.16155
suspensions_REAR_DAMP_FAST_BUMP,2890.0018
suspensions_REAR_DAMP_REBOUND,1698.91362
suspensions_REAR_DAMP_FAST_REBOUND,3358.49657
tyres_FRONT_PRESSURE_STATIC,16.98283
tyres_REAR_PRESSURE_STATIC,7.1312
