parameter,value
brakes_DATA_MAX_TORQUE,561.83211
brakes_DATA_FRONT_SHARE,0.5308
drivetrain_DIFFERENTIAL_POWER,0.05045
drivetrain_DIFFERENTIAL_COAST,0.63298
drivetrain_DIFFERENTIAL_PRELOAD,23.75019
suspensions_BASIC_WHEELBASE,1.56548
suspensions_BASIC_CG_LOCATION,0.54539
suspensions_ARB_FRONT,61070.52942
suspensions_ARB_REAR,30992.66235
suspensions_FRONT_TRACK,1.26072
suspensions_FRONT_ROD_LENGTH,0.00854
suspensions_FRONT_TOE_OUT,0.00116
suspensions_FRONT_STATIC_CAMBER,0.11078
suspensions_FRONT_SPRING_RATE,37757.30379
suspensions_FRONT_BUMP_STOP_RATE,170585.72131
suspensions_FRONT_PACKER_RANGE,0.08332
suspensions_FRONT_DAMP_BUMP,3369.19898
suspensions_FRONT_DAMP_FAST_BUMP,1450.27141
suspensions_FRONT_DAMP_REBOUND,1824.28779
suspensions_FRONT_DAMP_FAST_REBOUND,1329.53629
suspensions_REAR_TRACK,1.03351
suspensions_REAR_ROD_LENGTH,0.01429
suspensions_REAR_TOE_OUT,-0.00117
suspensions_REAR_STATIC_CAMBER,0.02467
suspensions_REAR_SPRING_RATE,55889.14137
suspensions_REAR_BUMP_STOP_RATE,129965.67867
suspensions_REAR_PACKER_RANGE,0.08927
suspensions_REAR_DAMP_BUMP,3221.64699
suspensions_REAR_DAMP_FAST_BUMP,510.86982
suspensions_REAR_DAMP_REBOUND,4400.56017
suspensions_REAR_DAMP_FAST_REBOUND,1492.95433
tyres_FRONT_PRESSURE_STATIC,13.89089
tyres_REAR_PRESSURE_STATIC,8.44881
