parameter,value
brakes_DATA_MAX_TORQUE,680.69337
brakes_DATA_FRONT_SHARE,0.78801
drivetrain_DIFFERENTIAL_POWER,0.19406
drivetrain_DIFFERENTIAL_COAST,0.2589
drivetrain_DIFFERENTIAL_PRELOAD,1.33104
suspensions_BASIC_WHEELBASE,1.71315
suspensions_BASIC_CG_LOCATION,0.35238
suspensions_ARB_FRONT,8856.77425
suspensions_ARB_REAR,149351.40601
suspensions_FRONT_TRACK,1.18183
suspensions_FRONT_ROD_LENGTH,0.00264
suspensions_FRONT_TOE_OUT,0.00142
suspensions_FRONT_STATIC_CAMBER,-2.28133
suspensions_FRONT_SPRING_RATE,36263.17917
suspensions_FRONT_BUMP_STOP_RATE,95362.57085
suspensions_FRONT_PACKER_RANGE,0.04975
suspensions_FRONT_DAMP_BUMP,1918.19162
suspensions_FRONT_DAMP_FAST_BUMP,3114.32861
suspensions_FRONT_DAMP_REBOUND,2371.93386
suspensions_FRONT_DAMP_FAST_REBOUND,1298.99798
suspensions_REAR_TRACK,1.01458
suspensions_REAR_ROD_LENGTH,0.00093
suspensions_REAR_TOE_OUT,-0.00043
suspensions_REAR_STATIC_CAMBER,-2.26245
suspensions_REAR_SPRING_RATE,34178.21079
suspensions_REAR_BUMP_STOP_RATE,199431.50545
suspensions_REAR_PACKER_RANGE,0.09631
suspensions_REAR_DAMP_BUMP,2354.17467
suspensions_REAR_DAMP_FAST_BUMP,527.08445
suspensions_REAR_DAMP_REBOUND,2954.1366
suspensions_REAR_DAMP_FAST_REBOUND,2111.87676
tyres_FRONT_PRESSURE_STATIC,15.18241
tyres_REAR_PRESSURE_STATIC,16.39999
