parameter,value
brakes_DATA_MAX_TORQUE,428.76776
brakes_DATA_FRONT_SHARE,0.80231
drivetrain_DIFFERENTIAL_POWER,0.76515
drivetrain_DIFFERENTIAL_COAST,0.82146
drivetrain_DIFFERENTIAL_PRELOAD,19.5707
suspensions_BASIC_WHEELBASE,1.562
suspensions_BASIC_CG_LOCATION,0.44593
suspensions_ARB_FRONT,87416.71882
suspensions_ARB_REAR,84256.26164
suspensions_FRONT_TRACK,1.12967
suspensions_FRONT_ROD_LENGTH,0.0255
suspensions_FRONT_TOE_OUT,0.00133
suspensions_FRONT_STATIC_CAMBER,-1.07017
suspensions_FRONT_SPRING_RATE,24650.18944
suspensions_FRONT_BUMP_STOP_RATE,187310.0499
suspensions_FRONT_PACKER_RANGE,0.10938
suspensions_FRONT_DAMP_BUMP,1756.44963
suspensions_FRONT_DAMP_FAST_BUMP,983.24383
suspensions_FRONT_DAMP_REBOUND,3217.8921
suspensions_FRONT_DAMP_FAST_REBOUND,2759.30791
suspensions_REAR_TRACK,1.03772
suspensions_REAR_ROD_LENGTH,0.00935
suspensions_REAR_TOE_OUT,0.00015
suspensions_REAR_STATIC_CAMBER,-0.61541
suspensions_REAR_SPRING_RATE,63465.21155
suspensions_REAR_BUMP_STOP_RATE,137675.76501
suspensions_REAR_PACKER_RANGE,0.10888
suspensions_REAR_DAMP_BUMP,3664.33695
suspensions_REAR_DAMP_FAST_BUMP,3461.12177
suspensions_REAR_DAMP_REBOUND,3234.86586
suspensions_REAR_DAMP_FAST_REBOUND,2838.4367
tyres_FRONT_PRESSURE_STATIC,17.79766
tyres_REAR_PRESSURE_STATIC,11.45303
