parameter,value
brakes_DATA_MAX_TORQUE,659.49448
brakes_DATA_FRONT_SHARE,0.76458
drivetrain_DIFFERENTIAL_POWER,0.91789
drivetrain_DIFFERENTIAL_COAST,0.59726
drivetrain_DIFFERENTIAL_PRELOAD,10.1037
suspensions_BASIC_WHEELBASE,1.5887
suspensions_BASIC_CG_LOCATION,0.48463
suspensions_ARB_FRONT,66950.42992
suspensions_ARB_REAR,136291.48049
suspensions_FRONT_TRACK,1.05093
suspensions_FRONT_ROD_LENGTH,0.01305
suspensions_FRONT_TOE_OUT,0.00361
suspensions_FRONT_STATIC_CAMBER,-2.75948
suspensions_FRONT_SPRING_RATE,36116.6266
suspensions_FRONT_BUMP_STOP_RATE,146422.77743
suspensions_FRONT_PACKER_RANGE,0.09882
suspensions_FRONT_DAMP_BUMP,2377.80933
suspensions_FRONT_DAMP_FAST_BUMP,2163.65215
suspensions_FRONT_DAMP_REBOUND,1684.49014
suspensions_FRONT_DAMP_FAST_REBOUND,2207.33416
suspensions_REAR_TRACK,1.04739
suspensions_REAR_ROD_LENGTH,0.00701
suspensions_REAR_TOE_OUT,0.00035
suspensions_REAR_STATIC_CAMBER,-0.53963
suspensions_REAR_SPRING_RATE,61145.72259
suspensions_REAR_BUMP_STOP_RATE,101125.98075
suspensions_REAR_PACKER_RANGE,0.11558
suspensions_REAR_DAMP_BUMP,3379.38485
suspensions_REAR_DAMP_FAST_BUMP,1826.8333
suspensions_REAR_DAMP_REBOUND,3044.74437
suspensions_REAR_DAMP_FAST_REBOUND,2175.76297
tyres_FRONT_PRESSURE_STATIC,9.55251
tyres_REAR_PRESSURE_STATIC,15.22723
