parameter,value
brakes_DATA_MAX_TORQUE,742.75459
brakes_DATA_FRONT_SHARE,0.66158
drivetrain_DIFFERENTIAL_POWER,0.74081
drivetrain_DIFFERENTIAL_COAST,0.82422
drivetrain_DIFFERENTIAL_PRELOAD,1.46232
suspensions_BASIC_WHEELBASE,1.74964
suspensions_BASIC_CG_LOCATION,0.52041
suspensions_ARB_FRONT,147744.17883
suspensions_ARB_REAR,141651.4757
suspensions_FRONT_TRACK,1.36035
suspensions_FRONT_ROD_LENGTH,0.02089
suspensions_FRONT_TOE_OUT,0.00051
suspensions_FRONT_STATIC_CAMBER,-1.50271
suspensions_FRONT_SPRING_RATE,43182.41926
suspensions_FRONT_BUMP_STOP_RATE,120814.7532
suspensions_FRONT_PACKER_RANGE,0.05643
suspensions_FRONT_DAMP_BUMP,1584.23839
suspensions_FRONT_DAMP_FAST_BUMP,1305.42475
suspensions_FRONT_DAMP_REBOUND,1716.83219
suspensions_FRONT_DAMP_FAST_REBOUND,2567.36659
suspensions_REAR_TRACK,1.08671
suspensions_REAR_ROD_LENGTH,0.01015
suspensions_REAR_TOE_OUT,0.00093
suspensions_REAR_STATIC_CAMBER,-1.9702
suspensions_REAR_SPRING_RATE,49499.14832
suspensions_REAR_BUMP_STOP_RATE,100153.67861
suspensions_REAR_PACKER_RANGE,0.08914
suspensions_REAR_DAMP_BUMP,1027.29978
suspensions_REAR_DAMP_FAST_BUMP,2345.82201
suspensions_REAR_DAMP_REBOUND,2657.75756
suspensions_REAR_DAMP_FAST_REBOUND,3497.84918
tyres_FRONT_PRESSURE_STATIC,15.47607
tyres_REAR_PRESSURE_STATIC,13.17604
