parameter,value
brakes_DATA_MAX_TORQUE,514.2062
brakes_DATA_FRONT_SHARE,0.73735
drivetrain_DIFFERENTIAL_POWER,0.16633
drivetrain_DIFFERENTIAL_COAST,0.40017
drivetrain_DIFFERENTIAL_PRELOAD,22.66155
suspensions_BASIC_WHEELBASE,1.78351
suspensions_BASIC_CG_LOCATION,0.57411
suspensions_ARB_FRONT,99651.54872
suspensions_ARB_REAR,126023.94383
suspensions_FRONT_TRACK,1.24925
suspensions_FRONT_ROD_LENGTH,0.00435
suspensions_FRONT_TOE_OUT,0.0001
suspensions_FRONT_STATIC_CAMBER,-1.72028
suspensions_FRONT_SPRING_RATE,27423.77033
suspensions_FRONT_BUMP_STOP_RATE,144969.93298
suspensions_FRONT_PACKER_RANGE,0.08188
suspensions_FRONT_DAMP_BUMP,3277.10609
suspensions_FRONT_DAMP_FAST_BUMP,2073.18263
suspensions_FRONT_DAMP_REBOUND,1797.87602
suspensions_FRONT_DAMP_FAST_REBOUND,2349.47948
suspensions_REAR_TRACK,1.32014
suspensions_REAR_ROD_LENGTH,0.01298
suspensions_REAR_TOE_OUT,0.00378
suspensions_REAR_STATIC_CAMBER,0.18434
suspensions_REAR_SPRING_RATE,58727.02818
suspensions_REAR_BUMP_STOP_RATE,198248.07042
suspensions_REAR_PACKER_RANGE,0.10173
suspensions_REAR_DAMP_BUMP,1894.21735
suspensions_REAR_DAMP_FAST_BUMP,958.08475
suspensions_REAR_DAMP_REBOUND,4470.88993
suspensions_REAR_DAMP_FAST_REBOUND,948.76111
tyres_FRONT_PRESSURE_STATIC,11.4658
tyres_REAR_PRESSURE_STATIC,9.31563
