parameter,value
brakes_DATA_MAX_TORQUE,541.28129
brakes_DATA_FRONT_SHARE,0.68714
drivetrain_DIFFERENTIAL_POWER,0.38648
drivetrain_DIFFERENTIAL_COAST,0.11387
drivetrain_DIFFERENTIAL_PRELOAD,22.45902
suspensions_BASIC_WHEELBASE,1.66828
suspensions_BASIC_CG_LOCATION,0.55759
suspensions_ARB_FRONT,84037.95803
suspensions_ARB_REAR,91717.12864
suspensions_FRONT_TRACK,1.11342
suspensions_FRONT_ROD_LENGTH,0.01449
suspensions_FRONT_TOE_OUT,0.00188
suspensions_FRONT_STATIC_CAMBER,-0.74503
suspensions_FRONT_SPRING_RATE,37490.71336
suspensions_FRONT_BUMP_STOP_RATE,158885.81663
suspensions_FRONT_PACKER_RANGE,0.06644
suspensions_FRONT_DAMP_BUMP,2239.02225
suspensions_FRONT_DAMP_FAST_BUMP,3135.49082
suspensions_FRONT_DAMP_REBOUND,3990.68808
suspensions_FRONT_DAMP_FAST_REBOUND,952.78528
suspensions_REAR_TRACK,1.17885
suspensions_REAR_ROD_LENGTH,0.00465
suspensions_REAR_TOE_OUT,-0.00089
suspensions_REAR_STATIC_CAMBER,0.32795
suspensions_REAR_SPRING_RATE,48929.69638
suspensions_REAR_BUMP_STOP_RATE,100556.75938
suspensions_REAR_PACKER_RANGE,0.0442
suspensions_REAR_DAMP_BUMP,1805.31808
suspensions_REAR_DAMP_FAST_BUMP,535.46631
suspensions_REAR_DAMP_REBOUND,2895.11961
suspensions_REAR_DAMP_FAST_REBOUND,1045.00927
tyres_FRONT_PRESSURE_STATIC,13.25014
tyres_REAR_PRESSURE_STATIC,15.62418
