parameter,value
brakes_DATA_MAX_TORQUE,732.99287
brakes_DATA_FRONT_SHARE,0.59125
drivetrain_DIFFERENTIAL_POWER,0.31884
drivetrain_DIFFERENTIAL_COAST,0.08745
drivetrain_DIFFERENTIAL_PRELOAD,15.46302
suspensions_BASIC_WHEELBASE,1.76921
suspensions_BASIC_CG_LOCATION,0.40938
suspensions_ARB_FRONT,149729.2848
suspensions_ARB_REAR,106221.99738
suspensions_FRONT_TRACK,1.31206
suspensions_FRONT_ROD_LENGTH,0.00521
suspensions_FRONT_TOE_OUT,0.00393
suspensions_FRONT_STATIC_CAMBER,-0.52913
suspensions_FRONT_SPRING_RATE,26634.96632
suspensions_FRONT_BUMP_STOP_RATE,55528.80335
suspensions_FRONT_PACKER_RANGE,0.11917
suspensions_FRONT_DAMP_BUMP,1733.21631
suspensions_FRONT_DAMP_FAST_BUMP,2975.24695
suspensions_FRONT_DAMP_REBOUND,2951.24533
suspensions_FRONT_DAMP_FAST_REBOUND,3174.36387
suspensions_REAR_TRACK,1.08771
suspensions_REAR_ROD_LENGTH,0.0188
suspensions_REAR_TOE_OUT,0.00125
suspensions_REAR_STATIC_CAMBER,-1.84076
suspensions_REAR_SPRING_RATE,39138.0797
suspensions_REAR_BUMP_STOP_RATE,99094.77232
suspensions_REAR_PACKER_RANGE,0.11389
suspensions_REAR_DAMP_BUMP,1548.18475
suspensions_REAR_DAMP_FAST_BUMP,1139.90935
suspensions_REAR_DAMP_REBOUND,2192.13562
suspensions_REAR_DAMP_FAST_REBOUND,1535.29725
tyres_FRONT_PRESSURE_STATIC,10.04637
tyres_REAR_PRESSURE_STATIC,11.53837
