parameter,value
brakes_DATA_MAX_TORQUE,622.59855
brakes_DATA_FRONT_SHARE,0.74259
drivetrain_DIFFERENTIAL_POWER,0.18121
drivetrain_DIFFERENTIAL_COAST,0.38731
drivetrain_DIFFERENTIAL_PRELOAD,11.27268
suspensions_BASIC_WHEELBASE,1.74528
suspensions_BASIC_CG_LOCATION,0.45891
suspensions_ARB_FRONT,58986.74249
suspensions_ARB_REAR,138254.93708
suspensions_FRONT_TRACK,1.34868
suspensions_FRONT_ROD_LENGTH,0.01975
suspensions_FRONT_TOE_OUT,0.00339
suspensions_FRONT_STATIC_CAMBER,0.47632
suspensions_FRONT_SPRING_RATE,25671.53137
suspensions_FRONT_BUMP_STOP_RATE,152332.04225
suspensions_FRONT_PACKER_RANGE,0.09358
suspensions_FRONT_DAMP_BUMP,2259.17322
suspensions_FRONT_DAMP_FAST_BUMP,961.43222
suspensions_FRONT_DAMP_REBOUND,2603.14681
suspensions_FRONT_DAMP_FAST_REBOUND,3108.91312
suspensions_REAR_TRACK,1.24846
suspensions_REAR_ROD_LENGTH,0.01455
suspensions_REAR_TOE_OUT,0.00179
suspensions_REAR_STATIC_CAMBER,-2.10185
suspensions_REAR_SPRING_RATE,64460.62646
suspensions_REAR_BUMP_STOP_RATE,139018.76963
suspensions_REAR_PACKER_RANGE,0.06611
suspensions_REAR_DAMP_BUMP,2243.25365
suspensions_REAR_DAMP_FAST_BUMP,623.18994
suspensions_REAR_DAMP_REBOUND,1818.47609
suspensions_REAR_DAMP_FAST_REBOUND,2244.12883
tyres_FRONT_PRESSURE_STATIC,7.88934
tyres_REAR_PRESSURE_STATIC,19.58432
