parameter,value
brakes_DATA_MAX_TORQUE,688.05061
brakes_DATA_FRONT_SHARE,0.74789
drivetrain_DIFFERENTIAL_POWER,0.69746
drivetrain_DIFFERENTIAL_COAST,0.10962
drivetrain_DIFFERENTIAL_PRELOAD,6.04157
suspensions_BASIC_WHEELBASE,1.59279
suspensions_BASIC_CG_LOCATION,0.36998
suspensions_ARB_FRONT,23877.6812
suspensions_ARB_REAR,2931.3103
suspensions_FRONT_TRACK,1.26087
suspensions_FRONT_ROD_LENGTH,0.02377
suspensions_FRONT_TOE_OUT,0.00107
suspensions_FRONT_STATIC_CAMBER,-0.63105
suspensions_FRONT_SPRING_RATE,41781.8599
suspensions_FRONT_BUMP_STOP_RATE,174061.72492
suspensions_FRONT_PACKER_RANGE,0.083
suspensions_FRONT_DAMP_BUMP,2691.81598
suspensions_FRONT_DAMP_FAST_BUMP,2052.07936
suspensions_FRONT_DAMP_REBOUND,1835.40394
suspensions_FRONT_DAMP_FAST_REBOUND,873.94599
suspensions_REAR_TRACK,1.32489
suspensions_REAR_ROD_LENGTH,0.00984
suspensions_REAR_TOE_OUT,-0.00133
suspensions_REAR_STATIC_CAMBER,-1.76629
suspensions_REAR_SPRING_RATE,64125.60007
suspensions_REAR_BUMP_STOP_RATE,162304.20324
suspensions_REAR_PACKER_RANGE,0.08128
suspensions_REAR_DAMP_BUMP,2003.28508
suspensions_REAR_DAMP_FAST_BUMP,1920.14854
suspensions_REAR_DAMP_REBOUND,3276.65708
suspensions_REAR_DAMP_FAST_REBOUND,3436.29572
tyres_FRONT_PRESSURE_STATIC,6.77811
tyres_REAR_PRESSURE_STATIC,17.39625
