parameter,value
brakes_DATA_MAX_TORQUE,679.21903
brakes_DATA_FRONT_SHARE,0.54718
drivetrain_DIFFERENTIAL_POWER,0.59237
drivetrain_DIFFERENTIAL_COAST,0.79296
drivetrain_DIFFERENTIAL_PRELOAD,12.33438
suspensions_BASIC_WHEELBASE,1.56112
suspensions_BASIC_CG_LOCATION,0.47398
suspensions_ARB_FRONT,86560.34297
suspensions_ARB_REAR,49374.85828
suspensions_FRONT_TRACK,1.1052
suspensions_FRONT_ROD_LENGTH,0.00091
suspensions_FRONT_TOE_OUT,0.0006
suspensions_FRONT_STATIC_CAMBER,-2.92659
suspensions_FRONT_SPRING_RATE,24790.02315
suspensions_FRONT_BUMP_STOP_RATE,73868.0155
suspensions_FRONT_PACKER_RANGE,0.05633
suspensions_FRONT_DAMP_BUMP,3006.77964
suspensions_FRONT_DAMP_FAST_BUMP,1984.24024
suspensions_FRONT_DAMP_REBOUND,2174.92938
suspensions_FRONT_DAMP_FAST_REBOUND,2141.46805
suspensions_REAR_TRACK,1.37013
suspensions_REAR_ROD_LENGTH,0.0062
suspensions_REAR_TOE_OUT,0.00342
suspensions_REAR_STATIC_CAMBER,-0.19242
suspensions_REAR_SPRING_RATE,25067.0186
suspensions_REAR_BUMP_STOP_RATE,87273.50409
suspensions_REAR_PACKER_RANGE,0.06564
suspensions_REAR_DAMP_BUMP,3500.89916
suspensions_REAR_DAMP_FAST_BUMP,3130.37496
suspensions_REAR_DAMP_REBOUND,1989.08081
suspensions_REAR_DAMP_FAST_REBOUND,1472.23012
tyres_FRONT_PRESSURE_STATIC,15.8943
tyres_REAR_PRESSURE_STATIC,10.35222
