parameter,value
brakes_DATA_MAX_TORQUE,697.26959
brakes_DATA_FRONT_SHARE,0.60519
drivetrain_DIFFERENTIAL_POWER,0.3265
drivetrain_DIFFERENTIAL_COAST,0.5255
drivetrain_DIFFERENTIAL_PRELOAD,9.88814
suspensions_BASIC_WHEELBASE,1.60477
suspensions_BASIC_CG_LOCATION,0.56138
suspensions_ARB_FRONT,21869.11706
suspensions_ARB_REAR,139349.13614
suspensions_FRONT_TRACK,1.20658
suspensions_FRONT_ROD_LENGTH,0.01258
suspensions_FRONT_TOE_OUT,0.00245
suspensions_FRONT_STATIC_CAMBER,-2.69161
suspensions_FRONT_SPRING_RATE,27011.40209
suspensions_FRONT_BUMP_STOP_RATE,51560.09302
suspensions_FRONT_PACKER_RANGE,0.04927
suspensions_FRONT_DAMP_BUMP,2271.28817
suspensions_FRONT_DAMP_FAST_BUMP,1316.04557
suspensions_FRONT_DAMP_REBOUND,1936.00338
suspensions_FRONT_DAMP_FAST_REBOUND,875.5794
suspensions_REAR_TRACK,1.19863
suspensions_REAR_ROD_LENGTH,0.00244
suspensions_REAR_TOE_OUT,0.00017
suspensions_REAR_STATIC_CAMBER,-2.80782
suspensions_REAR_SPRING_RATE,31442.48092
suspensions_REAR_BUMP_STOP_RATE,58423.02188
suspensions_REAR_PACKER_RANGE,0.04692
suspensions_REAR_DAMP_BUMP,3659.06404
suspensions_REAR_DAMP_FAST_BUMP,3023.51199
suspensions_REAR_DAMP_REBOUND,2149.58624
suspensions_REAR_DAMP_FAST_REBOUND,656.13602
tyres_FRONT_PRESSURE_STATIC,8.8364
tyres_REAR_PRESSURE_STATIC,16.98833
