parameter,value
brakes_DATA_MAX_TORQUE,781.72616
brakes_DATA_FRONT_SHARE,0.6285
drivetrain_DIFFERENTIAL_POWER,0.63287
drivetrain_DIFFERENTIAL_COAST,0.31125
drivetrain_DIFFERENTIAL_PRELOAD,18.51032
suspensions_BASIC_WHEELBASE,1.72968
suspensions_BASIC_CG_LOCATION,0.40473
suspensions_ARB_FRONT,4544.17437
suspensions_ARB_REAR,17395.15084
suspensions_FRONT_TRACK,1.0876
suspensions_FRONT_ROD_LENGTH,0.02322
suspensions_FRONT_TOE_OUT,0.00101
suspensions_FRONT_STATIC_CAMBER,0.09547
suspensions_FRONT_SPRING_RATE,21959.12376
suspensions_FRONT_BUMP_STOP_RATE,186411.42539
suspensions_FRONT_PACKER_RANGE,0.11286
suspensions_FRONT_DAMP_BUMP,3384.79493
suspensions_FRONT_DAMP_FAST_BUMP,1834.53844
suspensions_FRONT_DAMP_REBOUND,3652.30083
suspensions_FRONT_DAMP_FAST_REBOUND,1143.31813
suspensions_REAR_TRACK,1.22373
suspensions_REAR_ROD_LENGTH,0.02678
suspensions_REAR_TOE_OUT,0.00182
suspensions_REAR_STATIC_CAMBER,-0.12138
suspensions_REAR_SPRING_RATE,49675.84259
suspensions_REAR_BUMP_STOP_RATE,188429.06769
suspensions_REAR_PACKER_RANGE,0.04424
suspensions_REAR_DAMP_BUMP,1511.81166
suspensions_REAR_DAMP_FAST_BUMP,1003.28781
suspensions_REAR_DAMP_REBOUND,4195.36159
suspensions_REAR_DAMP_FAST_REBOUND,2068.46603
tyres_FRONT_PRESSURE_STATIC,13.96513
tyres_REAR_PRESSURE_STATIC,8.68237
