parameter,value
brakes_DATA_MAX_TORQUE,471.39516
brakes_DATA_FRONT_SHARE,0.76948
drivetrain_DIFFERENTIAL_POWER,0.94697
drivetrain_DIFFERENTIAL_COAST,0.22468
drivetrain_DIFFERENTIAL_PRELOAD,0.53002
suspensions_BASIC_WHEELBASE,1.59058
suspensions_BASIC_CG_LOCATION,0.54909
suspensions_ARB_FRONT,133492.74613
suspensions_ARB_REAR,85543.05861
suspensions_FRONT_TRACK,1.33475
suspensions_FRONT_ROD_LENGTH,0.0149
suspensions_FRONT_TOE_OUT,0.00078
suspensions_FRONT_STATIC_CAMBER,-0.44305
suspensions_FRONT_SPRING_RATE,27026.43556
suspensions_FRONT_BUMP_STOP_RATE,72340.0385
suspensions_FRONT_PACKER_RANGE,0.11005
suspensions_FRONT_DAMP_BUMP,2395.67392
suspensions_FRONT_DAMP_FAST_BUMP,3474.77394
suspensions_FRONT_DAMP_REBOUND,2393.22403
suspensions_FRONT_DAMP_FAST_REBOUND,654.3826
suspensions_REAR_TRACK,1.01623
suspensions_REAR_ROD_LENGTH,0.00856
suspensions_REAR_TOE_OUT,0.00392
suspensions_REAR_STATIC_CAMBER,-0.5415
suspensions_REAR_SPRING_RATE,56382.04069
suspensions_REAR_BUMP_STOP_RATE,140626.93747
suspensions_REAR_PACKER_RANGE,0.11385
suspensions_REAR_DAMP_BUMP,3643.84833
suspensions_REAR_DAMP_FAST_BUMP,2631.52688
suspensions_REAR_DAMP_REBOUND,3200.08832
suspensions_REAR_DAMP_FAST_REBOUND,802.53388
tyres_FRONT_PRESSURE_STATIC,9.48519
tyres_REAR_PRESSURE_STATIC,15.95766
