parameter,value
brakes_DATA_MAX_TORQUE,471.53764
brakes_DATA_FRONT_SHARE,0.56529
drivetrain_DIFFERENTIAL_POWER,0.12627
drivetrain_DIFFERENTIAL_COAST,0.03211
drivetrain_DIFFERENTIAL_PRELOAD,15.93486
suspensions_BASIC_WHEELBASE,1.59266
suspensions_BASIC_CG_LOCATION,0.45388
suspensions_ARB_FRONT,94049.0046
suspensions_ARB_REAR,146716.00515
suspensions_FRONT_TRACK,1.20054
suspensions_FRONT_ROD_LENGTH,0.01303
suspensions_FRONT_TOE_OUT,-0.00018
suspensions_FRONT_STATIC_CAMBER,-2.73389
suspensions_FRONT_SPRING_RATE,38227.08441
suspensions_FRONT_BUMP_STOP_RATE,142378.33327
suspensions_FRONT_PACKER_RANGE,0.09103
suspensions_FRONT_DAMP_BUMP,1030.80967
suspensions_FRONT_DAMP_FAST_BUMP,720.01721
suspensions_FRONT_DAMP_REBOUND,2653.69241
suspensions_FRONT_DAMP_FAST_REBOUND,2328.61613
suspensions_REAR_TRACK,1.23893
suspensions_REAR_ROD_LENGTH,0.01809
suspensions_REAR_TOE_OUT,0.00334
suspensions_REAR_STATIC_CAMBER,0.05091
suspensions_REAR_SPRING_RATE,37224.16982
suspensions_REAR_BUMP_STOP_RATE,55121.64539
suspensions_REAR_PACKER_RANGE,0.04035
suspensions_REAR_DAMP_BUMP,1277.6225
suspensions_REAR_DAMP_FAST_BUMP,2325.66425
suspensions_REAR_DAMP_REBOUND,2384.91783
suspensions_REAR_DAMP_FAST_REBOUND,2266.01363
tyres_FRONT_PRESSURE_STATIC,17.16078
tyres_REAR_PRESSURE_STATIC,14.2911
