parameter,value
brakes_DATA_MAX_TORQUE,630.80227
brakes_DATA_FRONT_SHARE,0.66317
drivetrain_DIFFERENTIAL_POWER,0.25803
drivetrain_DIFFERENTIAL_COAST,0.58033
drivetrain_DIFFERENTIAL_PRELOAD,8.70231
suspensions_BASIC_WHEELBASE,1.55719
suspensions_BASIC_CG_LOCATION,0.58362
suspensions_ARB_FRONT,25009.67519
suspensions_ARB_REAR,10087.71662
suspensions_FRONT_TRACK,1.38531
suspensions_FRONT_ROD_LENGTH,0.02
suspensions_FRONT_TOE_OUT,-0.00047
suspensions_FRONT_STATIC_CAMBER,-1.90424
suspensions_FRONT_SPRING_RATE,40950.33623
suspensions_FRONT_BUMP_STOP_RATE,184147.96597
suspensions_FRONT_PACKER_RANGE,0.0858
suspensions_FRONT_DAMP_BUMP,3357.76102
suspensions_FRONT_DAMP_FAST_BUMP,2315.49577
suspensions_FRONT_DAMP_REBOUND,2969.12837
suspensions_FRONT_DAMP_FAST_REBOUND,2972.36186
suspensions_REAR_TRACK,1.21004
suspensions_REAR_ROD_LENGTH,0.00881
suspensions_REAR_TOE_OUT,-9e-05
suspensions_REAR_STATIC_CAMBER,-1.09259
suspensions_REAR_SPRING_RATE,26721.59598
suspensions_REAR_BUMP_STOP_RATE,82965.553
suspensions_REAR_PACKER_RANGE,0.11493
suspensions_REAR_DAMP_BUMP,3135.9692
suspensions_REAR_DAMP_FAST_BUMP,1909.22352
suspensions_REAR_DAMP_REBOUND,3108.96125
suspensions_REAR_DAMP_FAST_REBOUND,2421.08164
tyres_FRONT_PRESSURE_STATIC,6.23409
tyres_REAR_PRESSURE_STATIC,7.112
