parameter,value
brakes_DATA_MAX_TORQUE,598.62008
brakes_DATA_FRONT_SHARE,0.78784
drivetrain_DIFFERENTIAL_POWER,0.90172
drivetrain_DIFFERENTIAL_COAST,0.39824
drivetrain_DIFFERENTIAL_PRELOAD,12.67254
suspensions_BASIC_WHEELBASE,1.65076
suspensions_BASIC_CG_LOCATION,0.48218
suspensions_ARB_FRONT,20249.78916
suspensions_ARB_REAR,121074.19681
suspensions_FRONT_TRACK,1.00283
suspensions_FRONT_ROD_LENGTH,0.00818
suspensions_FRONT_TOE_OUT,0.00338
suspensions_FRONT_STATIC_CAMBER,-1.97998
suspensions_FRONT_SPRING_RATE,21246.43721
suspensions_FRONT_BUMP_STOP_RATE,53566.3613
suspensions_FRONT_PACKER_RANGE,0.10821
suspensions_FRONT_DAMP_BUMP,1877.98717
suspensions_FRONT_DAMP_FAST_BUMP,2979.75989
suspensions_FRONT_DAMP_REBOUND,3707.71141
suspensions_FRONT_DAMP_FAST_REBOUND,1997.413
suspensions_REAR_TRACK,1.31418
suspensions_REAR_ROD_LENGTH,0.0011
suspensions_REAR_TOE_OUT,0.00283
suspensions_REAR_STATIC_CAMBER,-1.0901
suspensions_REAR_SPRING_RATE,58788.29458
suspensions_REAR_BUMP_STOP_RATE,188562.57874
suspensions_REAR_PACKER_RANGE,0.10327
suspensions_REAR_DAMP_BUMP,3999.86029
suspensions_REAR_DAMP_FAST_BUMP,2002.63756
suspensions_REAR_DAMP_REBOUND,4177.37391
suspensions_REAR_DAMP_FAST_REBOUND,2616.32937
tyres_FRONT_PRESSURE_STATIC,10.6168
tyres_REAR_PRESSURE_STATIC,16.17211
