parameter,value
brakes_DATA_MAX_TORQUE,570.41193
brakes_DATA_FRONT_SHARE,0.53926
drivetrain_DIFFERENTIAL_POWER,0.38168
drivetrain_DIFFERENTIAL_COAST,0.87826
drivetrain_DIFFERENTIAL_PRELOAD,0.14405
suspensions_BASIC_WHEELBASE,1.82044
suspensions_BASIC_CG_LOCATION,0.44016
suspensions_ARB_FRONT,142323.52821
suspensions_ARB_REAR,69335.66446
suspensions_FRONT_TRACK,1.39628
suspensions_FRONT_ROD_LENGTH,0.00108
suspensions_FRONT_TOE_OUT,0.00167
suspensions_FRONT_STATIC_CAMBER,-1.43762
suspensions_FRONT_SPRING_RATE,36393.26002
suspensions_FRONT_BUMP_STOP_RATE,96764.55405
suspensions_FRONT_PACKER_RANGE,0.04375
suspensions_FRONT_DAMP_BUMP,2825.13619
suspensions_FRONT_DAMP_FAST_BUMP,3464.70294
suspensions_FRONT_DAMP_REBOUND,2592.51694
suspensions_FRONT_DAMP_FAST_REBOUND,954.12952
suspensions_REAR_TRACK,1.10984
suspensions_REAR_ROD_LENGTH,0.02115
suspensions_REAR_TOE_OUT,0.00081
suspensions_REAR_STATIC_CAMBER,0.31632
suspensions_REAR_SPRING_RATE,42398.39585
suspensions_REAR_BUMP_STOP_RATE,99206.65663
suspensions_REAR_PACKER_RANGE,0.04473
suspensions_REAR_DAMP_BUMP,1271.98913
suspensions_REAR_DAMP_FAST_BUMP,1296.14739
suspensions_REAR_DAMP_REBOUND,1922.9405
suspensions_REAR_DAMP_FAST_REBOUND,2077.05499
tyres_FRONT_PRESSURE_STATIC,18.57315
tyres_REAR_PRESSURE_STATIC,18.92353
