parameter,value
brakes_DATA_MAX_TORQUE,485.03536
brakes_DATA_FRONT_SHARE,0.81692
drivetrain_DIFFERENTIAL_POWER,8e-05
drivetrain_DIFFERENTIAL_COAST,0.57575
drivetrain_DIFFERENTIAL_PRELOAD,14.62933
suspensions_BASIC_WHEELBASE,1.53058
suspensions_BASIC_CG_LOCATION,0.4838
suspensions_ARB_FRONT,55766.89741
suspensions_ARB_REAR,48524.83048
suspensions_FRONT_TRACK,1.01441
suspensions_FRONT_ROD_LENGTH,0.01304
suspensions_FRONT_TOE_OUT,0.00166
suspensions_FRONT_STATIC_CAMBER,-0.44387
suspensions_FRONT_SPRING_RATE,25282.03815
suspensions_FRONT_BUMP_STOP_RATE,168150.92137
suspensions_FRONT_PACKER_RANGE,0.04071
suspensions_FRONT_DAMP_BUMP,2276.42988
suspensions_FRONT_DAMP_FAST_BUMP,2464.72665
suspensions_FRONT_DAMP_REBOUND,3807.56762
suspensions_FRONT_DAMP_FAST_REBOUND,1877.30226
suspensions_REAR_TRACK,1.14421
suspensions_REAR_ROD_LENGTH,0.00428
suspensions_REAR_TOE_OUT,-0.00067
suspensions_REAR_STATIC_CAMBER,-2.76203
suspensions_REAR_SPRING_RATE,58242.31692
suspensions_REAR_BUMP_STOP_RATE,96726.79853
suspensions_REAR_PACKER_RANGE,0.09294
suspensions_REAR_DAMP_BUMP,1870.64248
suspensions_REAR_DAMP_FAST_BUMP,2491.4981
suspensions_REAR_DAMP_REBOUND,2034.9184
suspensions_REAR_DAMP_FAST_REBOUND,1483.13125
tyres_FRONT_PRESSURE_STATIC,9.68051
tyres_REAR_PRESSURE_STATIC,12.92179
