parameter,value
brakes_DATA_MAX_TORQUE,504.22646
brakes_DATA_FRONT_SHARE,0.65816
drivetrain_DIFFERENTIAL_POWER,0.1273
drivetrain_DIFFERENTIAL_COAST,0.05902
drivetrain_DIFFERENTIAL_PRELOAD,17.96249
suspensions_BASIC_WHEELBASE,1.78907
suspensions_BASIC_CG_LOCATION,0.59936
suspensions_ARB_FRONT,144298.87666
suspensions_ARB_REAR,38378.25963
suspensions_FRONT_TRACK,1.03274
suspensions_FRONT_ROD_LENGTH,0.00605
suspensions_FRONT_TOE_OUT,0.00147
suspensions_FRONT_STATIC_CAMBER,-1.82881
suspensions_FRONT_SPRING_RATE,39151.1784
suspensions_FRONT_BUMP_STOP_RATE,103140.29841
suspensions_FRONT_PACKER_RANGE,0.06196
suspensions_FRONT_DAMP_BUMP,3378.8091
suspensions_FRONT_DAMP_FAST_BUMP,2536.47094
suspensions_FRONT_DAMP_REBOUND,2924.77146
suspensions_FRONT_DAMP_FAST_REBOUND,790.33024
suspensions_REAR_TRACK,1.38703
suspensions_REAR_ROD_LENGTH,0.02456
suspensions_REAR_TOE_OUT,0.00076
suspensions_REAR_STATIC_CAMBER,-0.62184
suspensions_REAR_SPRING_RATE,39718.33932
suspensions_REAR_BUMP_STOP_RATE,85258.61539
suspensions_REAR_PACKER_RANGE,0.07749
suspensions_REAR_DAMP_BUMP,3047.50851
suspensions_REAR_DAMP_FAST_BUMP,3468.7606
suspensions_REAR_DAMP_REBOUND,1714.51158
suspensions_REAR_DAMP_FAST_REBOUND,2691.05523
tyres_FRONT_PRESSURE_STATIC,18.67525
tyres_REAR_PRESSURE_STATIC,12.54306
