parameter,value
brakes_DATA_MAX_TORQUE,762.31654
brakes_DATA_FRONT_SHARE,0.5539
drivetrain_DIFFERENTIAL_POWER,0.34413
drivetrain_DIFFERENTIAL_COAST,0.37812
drivetrain_DIFFERENTIAL_PRELOAD,6.35904
suspensions_BASIC_WHEELBASE,1.59324
suspensions_BASIC_CG_LOCATION,0.41527
suspensions_ARB_FRONT,76476.69461
suspensions_ARB_REAR,41010.89235
suspensions_FRONT_TRACK,1.09709
suspensions_FRONT_ROD_LENGTH,0.0284
suspensions_FRONT_TOE_OUT,0.00232
suspensions_FRONT_STATIC_CAMBER,-1.66621
suspensions_FRONT_SPRING_RATE,20375.94658
suspensions_FRONT_BUMP_STOP_RATE,86599.93646
suspensions_FRONT_PACKER_RANGE,0.10735
suspensions_FRONT_DAMP_BUMP,1701.69916
suspensions_FRONT_DAMP_FAST_BUMP,1180.6038
suspensions_FRONT_DAMP_REBOUND,2378.22013
suspensions_FRONT_DAMP_FAST_REBOUND,537.97335
suspensions_REAR_TRACK,1.3812
suspensions_REAR_ROD_LENGTH,0.02175
suspensions_REAR_TOE_OUT,-0.00106
suspensions_REAR_STATIC_CAMBER,-0.66515
suspensions_REAR_SPRING_RATE,42653.2948
suspensions_REAR_BUMP_STOP_RATE,88353.26466
suspensions_REAR_PACKER_RANGE,0.07874
suspensions_REAR_DAMP_BUMP,3260.63048
suspensions_REAR_DAMP_FAST_BUMP,2650.95042
suspensions_REAR_DAMP_REBOUND,2844.19769
suspensions_REAR_DAMP_FAST_REBOUND,1610.26507
tyres_FRONT_PRESSURE_STATIC,14.88057
tyres_REAR_PRESSURE_STATIC,18.07541
