parameter,value
brakes_DATA_MAX_TORQUE,725.81183
brakes_DATA_FRONT_SHARE,0.56957
drivetrain_DIFFERENTIAL_POWER,0.53081
drivetrain_DIFFERENTIAL_COAST,0.6858
drivetrain_DIFFERENTIAL_PRELOAD,7.24723
suspensions_BASIC_WHEELBASE,1.84623
suspensions_BASIC_CG_LOCATION,0.41815
suspensions_ARB_FRONT,34452.99415
suspensions_ARB_REAR,92439.81635
suspensions_FRONT_TRACK,1.35282
suspensions_FRONT_ROD_LENGTH,0.02041
suspensions_FRONT_TOE_OUT,0.00071
suspensions_FRONT_STATIC_CAMBER,0.08194
suspensions_FRONT_SPRING_RATE,29613.46703
suspensions_FRONT_BUMP_STOP_RATE,100059.00859
suspensions_FRONT_PACKER_RANGE,0.06872
suspensions_FRONT_DAMP_BUMP,1672.38053
suspensions_FRONT_DAMP_FAST_BUMP,3303.86797
suspensions_FRONT_DAMP_REBOUND,3664.0234
suspensions_FRONT_DAMP_FAST_REBOUND,3218.76025
suspensions_REAR_TRACK,1.20891
suspensions_REAR_ROD_LENGTH,0.00696
suspensions_REAR_TOE_OUT,-0.00099
suspensions_REAR_STATIC_CAMBER,-1.47932
suspensions_REAR_SPRING_RATE,38636.11262
suspensions_REAR_BUMP_STOP_RATE,94056.40088
suspensions_REAR_PACKER_RANGE,0.07515
suspensions_REAR_DAMP_BUMP,2583.50263
suspensions_REAR_DAMP_FAST_BUMP,3102.91744
suspensions_REAR_DAMP_REBOUND,3977.31132
suspensions_REAR_DAMP_FAST_REBOUND,2347.41942
tyres_FRONT_PRESSURE_STATIC,16.95919
tyres_REAR_PRESSURE_STATIC,17.08256
