parameter,value
brakes_DATA_MAX_TORQUE,565.98611
brakes_DATA_FRONT_SHARE,0.56501
drivetrain_DIFFERENTIAL_POWER,0.12027
drivetrain_DIFFERENTIAL_COAST,0.44903
drivetrain_DIFFERENTIAL_PRELOAD,3.98095
suspensions_BASIC_WHEELBASE,1.74991
suspensions_BASIC_CG_LOCATION,0.56343
suspensions_ARB_FRONT,76305.97548
suspensions_ARB_REAR,68007.91234
suspensions_FRONT_TRACK,1.21501
suspensions_FRONT_ROD_LENGTH,0.02279
suspensions_FRONT_TOE_OUT,0.00025
suspensions_FRONT_STATIC_CAMBER,0.41615
suspensions_FRONT_SPRING_RATE,22331.92629
suspensions_FRONT_BUMP_STOP_RATE,141305.89735
suspensions_FRONT_PACKER_RANGE,0.07384
suspensions_FRONT_DAMP_BUMP,3201.37175
suspensions_FRONT_DAMP_FAST_BUMP,1834.87497
suspensions_FRONT_DAMP_REBOUND,2327.22353
suspensions_FRONT_DAMP_FAST_REBOUND,1672.26141
suspensions_REAR_TRACK,1.05693
suspensions_REAR_ROD_LENGTH,0.02835
suspensions_REAR_TOE_OUT,0.00279
suspensions_REAR_STATIC_CAMBER,-2.68732
suspensions_REAR_SPRING_RATE,37924.76885
suspensions_REAR_BUMP_STOP_RATE,126751.7757
suspensions_REAR_PACKER_RANGE,0.10761
suspensions_REAR_DAMP_BUMP,1503.63248
suspensions_REAR_DAMP_FAST_BUMP,1091.02411
suspensions_REAR_DAMP_REBOUND,1520.00264
suspensions_REAR_DAMP_FAST_REBOUND,3170.95006
tyres_FRONT_PRESSURE_STATIC,10.03854
tyres_REAR_PRESSURE_STATIC,14.52467
