parameter,value
brakes_DATA_MAX_TORQUE,755.68993
brakes_DATA_FRONT_SHARE,0.63295
drivetrain_DIFFERENTIAL_POWER,0.74631
drivetrain_DIFFERENTIAL_COAST,0.03452
drivetrain_DIFFERENTIAL_PRELOAD,10.09457
suspensions_BASIC_WHEELBASE,1.87714
suspensions_BASIC_CG_LOCATION,0.42203
suspensions_ARB_FRONT,80073.55155
suspensions_ARB_REAR,148873.84336
suspensions_FRONT_TRACK,1.34058
suspensions_FRONT_ROD_LENGTH,0.0242
suspensions_FRONT_TOE_OUT,0.00155
suspensions_FRONT_STATIC_CAMBER,-1.98756
suspensions_FRONT_SPRING_RATE,36137.2315
suspensions_FRONT_BUMP_STOP_RATE,128693.53797
suspensions_FRONT_PACKER_RANGE,0.08253
suspensions_FRONT_DAMP_BUMP,3165.49147
suspensions_FRONT_DAMP_FAST_BUMP,2526.44476
suspensions_FRONT_DAMP_REBOUND,1691.68398
suspensions_FRONT_DAMP_FAST_REBOUND,1562.51525
suspensions_REAR_TRACK,1.22738
suspensions_REAR_ROD_LENGTH,0.00883
suspensions_REAR_TOE_OUT,0.00179
suspensions_REAR_STATIC_CAMBER,-1.86809
suspensions_REAR_SPRING_RATE,47296.26137
suspensions_REAR_BUMP_STOP_RATE,125728.40751
suspensions_REAR_PACKER_RANGE,0.09751
suspensions_REAR_DAMP_BUMP,2303.10734
suspensions_REAR_DAMP_FAST_BUMP,1111.82958
suspensions_REAR_DAMP_REBOUND,1779.36715
suspensions_REAR_DAMP_FAST_REBOUND,1330.29161
tyres_FRONT_PRESSURE_STATIC,12.30874
tyres_REAR_PRESSURE_STATIC,15.58564
