parameter,value
brakes_DATA_MAX_TORQUE,432.06843
brakes_DATA_FRONT_SHARE,0.70837
drivetrain_DIFFERENTIAL_POWER,0.3226
drivetrain_DIFFERENTIAL_COAST,0.90718
drivetrain_DIFFERENTIAL_PRELOAD,21.09402
suspensions_BASIC_WHEELBASE,1.71136
suspensions_BASIC_CG_LOCATION,0.38936
suspensions_ARB_FRONT,35578.4807
suspensions_ARB_REAR,70880.85946
suspensions_FRONT_TRACK,1.13445
suspensions_FRONT_ROD_LENGTH,0.02936
suspensions_FRONT_TOE_OUT,0.00335
suspensions_FRONT_STATIC_CAMBER,-2.3984
suspensions_FRONT_SPRING_RATE,34705.1649
suspensions_FRONT_BUMP_STOP_RATE,181863.99096
suspensions_FRONT_PACKER_RANGE,0.09258
suspensions_FRONT_DAMP_BUMP,3160.03791
suspensions_FRONT_DAMP_FAST_BUMP,3158.9101
suspensions_FRONT_DAMP_REBOUND,2597.61163
suspensions_FRONT_DAMP_FAST_REBOUND,3014.55689
suspensions_REAR_TRACK,1.2243
suspensions_REAR_ROD_LENGTH,0.0288
suspensions_REAR_TOE_OUT,0.00054
suspensions_REAR_STATIC_CAMBER,-0.51853
suspensions_REAR_SPRING_RATE,28889.64087
suspensions_REAR_BUMP_STOP_RATE,122015.8477
suspensions_REAR_PACKER_RANGE,0.0685
suspensions_REAR_DAMP_BUMP,1777.48636
suspensions_REAR_DAMP_FAST_BUMP,1685.92231
suspensions_REAR_DAMP_REBOUND,2195.93725
suspensions_REAR_DAMP_FAST_REBOUND,2952.25338
tyres_FRONT_PRESSURE_STATIC,10.45806
tyres_REAR_PRESSURE_STATIC,9.02891
