parameter,value
brakes_DATA_MAX_TORQUE,568.16345
brakes_DATA_FRONT_SHARE,0.8368
drivetrain_DIFFERENTIAL_POWER,0.52673
drivetrain_DIFFERENTIAL_COAST,0.77058
drivetrain_DIFFERENTIAL_PRELOAD,23.62815
suspensions_BASIC_WHEELBASE,1.57055
suspensions_BASIC_CG_LOCATION,0.4823
suspensions_ARB_FRONT,125187.22664
suspensions_ARB_REAR,25218.17635
suspensions_FRONT_TRACK,1.11915
suspensions_FRONT_ROD_LENGTH,0.01728
suspensions_FRONT_TOE_OUT,0.00368
suspensions_FRONT_STATIC_CAMBER,-2.82934
suspensions_FRONT_SPRING_RATE,22680.94754
suspensions_FRONT_BUMP_STOP_RATE,163591.10603
suspensions_FRONT_PACKER_RANGE,0.07131
suspensions_FRONT_DAMP_BUMP,2690.50358
suspensions_FRONT_DAMP_FAST_BUMP,1658.92638
suspensions_FRONT_DAMP_REBOUND,2215.0761
suspensions_FRONT_DAMP_FAST_REBOUND,2624.84434
suspensions_REAR_TRACK,1.16276
suspensions_REAR_ROD_LENGTH,0.00217
suspensions_REAR_TOE_OUT,-0.00098
suspensions_REAR_STATIC_CAMBER,-0.04674
suspensions_REAR_SPRING_RATE,46380.82365
suspensions_REAR_BUMP_STOP_RATE,85369.6186
suspensions_REAR_PACKER_RANGE,0.04512
suspensions_REAR_DAMP_BUMP,3115.49092
suspensions_REAR_DAMP_FAST_BUMP,1950.86787
suspensions_REAR_DAMP_REBOUND,2854.78794
suspensions_REAR_DAMP_FAST_REBOUND,2146.14981
tyres_FRONT_PRESSURE_STATIC,14.88126
tyres_REAR_PRESSURE_STATIC,12.67166
