parameter,value
brakes_DATA_MAX_TORQUE,790.55509
brakes_DATA_FRONT_SHARE,0.6582
drivetrain_DIFFERENTIAL_POWER,0.06937
drivetrain_DIFFERENTIAL_COAST,0.5111
drivetrain_DIFFERENTIAL_PRELOAD,18.29786
suspensions_BASIC_WHEELBASE,1.54587
suspensions_BASIC_CG_LOCATION,0.41731
suspensions_ARB_FRONT,39684.28447
suspensions_ARB_REAR,145077.26412
suspensions_FRONT_TRACK,1.36222
suspensions_FRONT_ROD_LENGTH,0.02591
suspensions_FRONT_TOE_OUT,0.00302
suspensions_FRONT_STATIC_CAMBER,-2.70087
suspensions_FRONT_SPRING_RATE,43696.24771
suspensions_FRONT_BUMP_STOP_RATE,193011.80489
suspensions_FRONT_PACKER_RANGE,0.10518
suspensions_FRONT_DAMP_BUMP,2572.55397
suspensions_FRONT_DAMP_FAST_BUMP,1622.57282
suspensions_FRONT_DAMP_REBOUND,2203.36444
suspensions_FRONT_DAMP_FAST_REBOUND,1041.30115
suspensions_REAR_TRACK,1.30851
suspensions_REAR_ROD_LENGTH,0.00701
suspensions_REAR_TOE_OUT,0.00356
suspensions_REAR_STATIC_CAMBER,-2.47687
suspensions_REAR_SPRING_RATE,34792.67388
suspensions_REAR_BUMP_STOP_RATE,119161.99136
suspensions_REAR_PACKER_RANGE,0.11152
suspensions_REAR_DAMP_BUMP,2466.6503
suspensions_REAR_DAMP_FAST_BUMP,711.89177
suspensions_REAR_DAMP_REBOUND,3516.85544
suspensions_REAR_DAMP_FAST_REBOUND,2707.87679
tyres_FRONT_PRESSURE_STATIC,9.18703
tyres_REAR_PRESSURE_STATIC,14.75114
