parameter,value
brakes_DATA_MAX_TORQUE,752.55748
brakes_DATA_FRONT_SHARE,0.80196
drivetrain_DIFFERENTIAL_POWER,0.74217
drivetrain_DIFFERENTIAL_COAST,0.88911
drivetrain_DIFFERENTIAL_PRELOAD,7.46477
suspensions_BASIC_WHEELBASE,1.87568
suspensions_BASIC_CG_LOCATION,0.36596
suspensions_ARB_FRONT,63978.27746
suspensions_ARB_REAR,114278.47275
suspensions_FRONT_TRACK,1.14035
suspensions_FRONT_ROD_LENGTH,0.01975
suspensions_FRONT_TOE_OUT,0.00163
suspensions_FRONT_STATIC_CAMBER,-2.78704
suspensions_FRONT_SPRING_RATE,37429.04196
suspensions_FRONT_BUMP_STOP_RATE,162590.42309
suspensions_FRONT_PACKER_RANGE,0.11774
suspensions_FRONT_DAMP_BUMP,3378.42812
suspensions_FRONT_DAMP_FAST_BUMP,2869.86734
suspensions_FRONT_DAMP_REBOUND,1507.97539
suspensions_FRONT_DAMP_FAST_REBOUND,2435.92652
suspensions_REAR_TRACK,1.03393
suspensions_REAR_ROD_LENGTH,0.01926
suspensions_REAR_TOE_OUT,0.00091
suspensions_REAR_STATIC_CAMBER,0.09435
suspensions_REAR_SPRING_RATE,59647.04996
suspensions_REAR_BUMP_STOP_RATE,54564.35686
suspensions_REAR_PACKER_RANGE,0.11328
suspensions_REAR_DAMP_BUMP,3444.46193
suspensions_REAR_DAMP_FAST_BUMP,660.39702
suspensions_REAR_DAMP_REBOUND,4368.23644
suspensions_REAR_DAMP_FAST_REBOUND,1497.97695
tyres_FRONT_PRESSURE_STATIC,16.47489
tyres_REAR_PRESSURE_STATIC,9.79383
