parameter,value
brakes_DATA_MAX_TORQUE,491.61053
brakes_DATA_FRONT_SHARE,0.57692
drivetrain_DIFFERENTIAL_POWER,0.52083
drivetrain_DIFFERENTIAL_COAST,0.99175
drivetrain_DIFFERENTIAL_PRELOAD,12.48282
suspensions_BASIC_WHEELBASE,1.60261
suspensions_BASIC_CG_LOCATION,0.52369
suspensions_ARB_FRONT,133504.94282
suspensions_ARB_REAR,137616.44266
suspensions_FRONT_TRACK,1.15462
suspensions_FRONT_ROD_LENGTH,0.01946
suspensions_FRONT_TOE_OUT,1e-05
suspensions_FRONT_STATIC_CAMBER,-2.99928
suspensions_FRONT_SPRING_RATE,43482.3008
suspensions_FRONT_BUMP_STOP_RATE,173900.75974
suspensions_FRONT_PACKER_RANGE,0.05774
suspensions_FRONT_DAMP_BUMP,3446.1543
suspensions_FRONT_DAMP_FAST_BUMP,3359.99181
suspensions_FRONT_DAMP_REBOUND,3969.41599
suspensions_FRONT_DAMP_FAST_REBOUND,2610.50598
suspensions_REAR_TRACK,1.25589
suspensions_REAR_ROD_LENGTH,0.02447
suspensions_REAR_TOE_OUT,0.00336
suspensions_REAR_STATIC_CAMBER,-2.09776
suspensions_REAR_SPRING_RATE,33169.87164
suspensions_REAR_BUMP_STOP_RATE,156021.70976
suspensions_REAR_PACKER_RANGE,0.05623
suspensions_REAR_DAMP_BUMP,3917.6632
suspensions_REAR_DAMP_FAST_BUMP,3258.68822
suspensions_REAR_DAMP_REBOUND,1548.96147
suspensions_REAR_DAMP_FAST_REBOUND,1654.65277
tyres_FRONT_PRESSURE_STATIC,19.67627
tyres_REAR_PRESSURE_STATIC,8.96583
