parameter,value
brakes_DATA_MAX_TORQUE,686.25633
brakes_DATA_FRONT_SHARE,0.77074
drivetrain_DIFFERENTIAL_POWER,0.64328
drivetrain_DIFFERENTIAL_COAST,0.81491
drivetrain_DIFFERENTIAL_PRELOAD,23.59898
suspensions_BASIC_WHEELBASE,1.53668
suspensions_BASIC_CG_LOCATION,0.55502
suspensions_ARB_FRONT,59799.58865
suspensions_ARB_REAR,126133.00747
suspensions_FRONT_TRACK,1.28856
suspensions_FRONT_ROD_LENGTH,0.00986
suspensions_FRONT_TOE_OUT,-0.00012
suspensions_FRONT_STATIC_CAMBER,-0.226
suspensions_FRONT_SPRING_RATE,44029.63661
suspensions_FRONT_BUMP_STOP_RATE,144369.08834
suspensions_FRONT_PACKER_RANGE,0.10336
suspensions_FRONT_DAMP_BUMP,2889.13102
suspensions_FRONT_DAMP_FAST_BUMP,3143.4954
suspensions_FRONT_DAMP_REBOUND,3478.22032
suspensions_FRONT_DAMP_FAST_REBOUND,916.94084
suspensions_REAR_TRACK,1.01341
suspensions_REAR_ROD_LENGTH,0.0124
suspensions_REAR_TOE_OUT,0.00258
suspensions_REAR_STATIC_CAMBER,-2.45888
suspensions_REAR_SPRING_RATE,30543.75039
suspensions_REAR_BUMP_STOP_RATE,78205.06848
suspensions_REAR_PACKER_RANGE,0.11364
suspensions_REAR_DAMP_BUMP,2886.21322
suspensions_REAR_DAMP_FAST_BUMP,2716.41863
suspensions_REAR_DAMP_REBOUND,3771.00374
suspensions_REAR_DAMP_FAST_REBOUND,2033.4188
tyres_FRONT_PRESSURE_STATIC,18.71961
tyres_REAR_PRESSURE_STATIC,18.18291
