parameter,value
brakes_DATA_MAX_TORQUE,541.20363
brakes_DATA_FRONT_SHARE,0.69341
drivetrain_DIFFERENTIAL_POWER,0.1959
drivetrain_DIFFERENTIAL_COAST,0.11286
drivetrain_DIFFERENTIAL_PRELOAD,12.77691
suspensions_BASIC_WHEELBASE,1.60346
suspensions_BASIC_CG_LOCATION,0.49
suspensions_ARB_FRONT,94146.14829
suspensions_ARB_REAR,74404.52643
suspensions_FRONT_TRACK,1.39535
suspensions_FRONT_ROD_LENGTH,0.0176
suspensions_FRONT_TOE_OUT,0.00056
suspensions_FRONT_STATIC_CAMBER,-1.9901
suspensions_FRONT_SPRING_RATE,41776.76282
suspensions_FRONT_BUMP_STOP_RATE,124159.34744
suspensions_FRONT_PACKER_RANGE,0.05395
suspensions_FRONT_DAMP_BUMP,3287.18226
suspensions_FRONT_DAMP_FAST_BUMP,1347.91081
suspensions_FRONT_DAMP_REBOUND,3700.36885
suspensions_FRONT_DAMP_FAST_REBOUND,2395.52052
suspensions_REAR_TRACK,1.17427
suspensions_REAR_ROD_LENGTH,0.01102
suspensions_REAR_TOE_OUT,0.00083
suspensions_REAR_STATIC_CAMBER,-2.68041
suspensions_REAR_SPRING_RATE,45347.6523
suspensions_REAR_BUMP_STOP_RATE,87121.76036
suspensions_REAR_PACKER_RANGE,0.07773
suspensions_REAR_DAMP_BUMP,1719.15342
suspensions_REAR_DAMP_FAST_BUMP,1061.31004
suspensions_REAR_DAMP_REBOUND,2706.93983
suspensions_REAR_DAMP_FAST_REBOUND,2620.11388
tyres_FRONT_PRESSURE_STATIC,16.92035
tyres_REAR_PRESSURE_STATIC,8.46028
