parameter,value
brakes_DATA_MAX_TORQUE,751.86397
brakes_DATA_FRONT_SHARE,0.69631
drivetrain_DIFFERENTIAL_POWER,0.196
drivetrain_DIFFERENTIAL_COAST,0.18443
drivetrain_DIFFERENTIAL_PRELOAD,9.25381
suspensions_BASIC_WHEELBASE,1.72868
suspensions_BASIC_CG_LOCATION,0.48034
suspensions_ARB_FRONT,72088.28898
suspensions_ARB_REAR,135702.30087
suspensions_FRONT_TRACK,1.32744
suspensions_FRONT_ROD_LENGTH,0.02864
suspensions_FRONT_TOE_OUT,0.00098
suspensions_FRONT_STATIC_CAMBER,-0.42331
suspensions_FRONT_SPRING_RATE,33618.21695
suspensions_FRONT_BUMP_STOP_RATE,79315.63763
suspensions_FRONT_PACKER_RANGE,0.09817
suspensions_FRONT_DAMP_BUMP,3395.36519
suspensions_FRONT_DAMP_FAST_BUMP,1405.4899
suspensions_FRONT_DAMP_REBOUND,3795.83379
suspensions_FRONT_DAMP_FAST_REBOUND,1881.43675
suspensions_REAR_TRACK,1.25597
suspensions_REAR_ROD_LENGTH,0.02062
suspensions_REAR_TOE_OUT,0.00313
suspensions_REAR_STATIC_CAMBER,0.03758
suspensions_REAR_SPRING_RATE,29982.75754
suspensions_REAR_BUMP_STOP_RATE,161895.0658
suspensions_REAR_PACKER_RANGE,0.07628
suspensions_REAR_DAMP_BUMP,3090.24789
suspensions_REAR_DAMP_FAST_BUMP,1951.35656
suspensions_REAR_DAMP_REBOUND,1958.32684
suspensions_REAR_DAMP_FAST_REBOUND,2716.45689
tyres_FRONT_PRESSURE_STATIC,12.86594
tyres_REAR_PRESSURE_STATIC,13.85508
