parameter,value
brakes_DATA_MAX_TORQUE,650.9829
brakes_DATA_FRONT_SHARE,0.6309
drivetrain_DIFFERENTIAL_POWER,0.77704
drivetrain_DIFFERENTIAL_COAST,0.69602
drivetrain_DIFFERENTIAL_PRELOAD,14.30379
suspensions_BASIC_WHEELBASE,1.82306
suspensions_BASIC_CG_LOCATION,0.50146
suspensions_ARB_FRONT,41622.17863
suspensions_ARB_REAR,31878.18447
suspensions_FRONT_TRACK,1.3261
suspensions_FRONT_ROD_LENGTH,0.00137
suspensions_FRONT_TOE_OUT,0.00245
suspensions_FRONT_STATIC_CAMBER,-2.89131
suspensions_FRONT_SPRING_RATE,31614.89913
suspensions_FRONT_BUMP_STOP_RATE,72108.36973
suspensions_FRONT_PACKER_RANGE,0.0614
suspensions_FRONT_DAMP_BUMP,1864.07985
suspensions_FRONT_DAMP_FAST_BUMP,1564.98359
suspensions_FRONT_DAMP_REBOUND,1883.9747
suspensions_FRONT_DAMP_FAST_REBOUND,1953.46821
suspensions_REAR_TRACK,1.15922
suspensions_REAR_ROD_LENGTH,0.00454
suspensions_REAR_TOE_OUT,0.00017
suspensions_REAR_STATIC_CAMBER,-2.22888
suspensions_REAR_SPRING_RATE,25167.26719
suspensions_REAR_BUMP_STOP_RATE,62062.23536
suspensions_REAR_PACKER_RANGE,0.07875
suspensions_REAR_DAMP_BUMP,2909.68649
suspensions_REAR_DAMP_FAST_BUMP,2980.08229
suspensions_REAR_DAMP_REBOUND,3487.05053
suspensions_REAR_DAMP_FAST_REBOUND,1646.025
tyres_FRONT_PRESSURE_STATIC,16.15599
tyres_REAR_PRESSURE_STATIC,12.40084
