parameter,value
brakes_DATA_MAX_TORQUE,652.3396
brakes_DATA_FRONT_SHARE,0.81654
drivetrain_DIFFERENTIAL_POWER,0.17696
drivetrain_DIFFERENTIAL_COAST,0.46405
drivetrain_DIFFERENTIAL_PRELOAD,7.58241
suspensions_BASIC_WHEELBASE,1.6638
suspensions_BASIC_CG_LOCATION,0.44064
suspensions_ARB_FRONT,130606.71765
suspensions_ARB_REAR,110810.78819
suspensions_FRONT_TRACK,1.03664
suspensions_FRONT_ROD_LENGTH,0.00936
suspensions_FRONT_TOE_OUT,0.00261
suspensions_FRONT_STATIC_CAMBER,-0.71036
suspensions_FRONT_SPRING_RATE,36413.58705
suspensions_FRONT_BUMP_STOP_RATE,161329.93763
suspensions_FRONT_PACKER_RANGE,0.11859
suspensions_FRONT_DAMP_BUMP,1002.84577
suspensions_FRONT_DAMP_FAST_BUMP,2831.12254
suspensions_FRONT_DAMP_REBOUND,2361.60078
suspensions_FRONT_DAMP_FAST_REBOUND,1091.21857
suspensions_REAR_TRACK,1.30846
suspensions_REAR_ROD_LENGTH,0.01938
suspensions_REAR_TOE_OUT,0.00266
suspensions_REAR_STATIC_CAMBER,-0.69287
suspensions_REAR_SPRING_RATE,62802.07856
suspensions_REAR_BUMP_STOP_RATE,176303.27821
suspensions_REAR_PACKER_RANGE,0.11874
suspensions_REAR_DAMP_BUMP,3640.86617
suspensions_REAR_DAMP_FAST_BUMP,844.36473
suspensions_REAR_DAMP_REBOUND,2407.90098
suspensions_REAR_DAMP_FAST_REBOUND,2396.66538
tyres_FRONT_PRESSURE_STATIC,13.91595
tyres_REAR_PRESSURE_STATIC,16.85744
