parameter,value
brakes_DATA_MAX_TORQUE,515.02317
brakes_DATA_FRONT_SHARE,0.72148
drivetrain_DIFFERENTIAL_POWER,0.14179
drivetrain_DIFFERENTIAL_COAST,0.44479
drivetrain_DIFFERENTIAL_PRELOAD,13.38187
suspensions_BASIC_WHEELBASE,1.61927
suspensions_BASIC_CG_LOCATION,0.56136
suspensions_ARB_FRONT,95003.30505
suspensions_ARB_REAR,29915.04216
suspensions_FRONT_TRACK,1.00157
suspensions_FRONT_ROD_LENGTH,0.02949
suspensions_FRONT_TOE_OUT,0.00244
suspensions_FRONT_STATIC_CAMBER,-2.05468
suspensions_FRONT_SPRING_RATE,29079.74862
suspensions_FRONT_BUMP_STOP_RATE,115773.38459
suspensions_FRONT_PACKER_RANGE,0.09661
suspensions_FRONT_DAMP_BUMP,1701.84083
suspensions_FRONT_DAMP_FAST_BUMP,2037.53908
suspensions_FRONT_DAMP_REBOUND,1540.13923
suspensions_FRONT_DAMP_FAST_REBOUND,1869.39906
suspensions_REAR_TRACK,1.24281
suspensions_REAR_ROD_LENGTH,0.0151
suspensions_REAR_TOE_OUT,0.00377
suspensions_REAR_STATIC_CAMBER,-0.92028
suspensions_REAR_SPRING_RATE,52851.95702
suspensions_REAR_BUMP_STOP_RATE,69021.92954
suspensions_REAR_PACKER_RANGE,0.06348
suspensions_REAR_DAMP_BUMP,2422.51758
suspensions_REAR_DAMP_FAST_BUMP,3059.63861
suspensions_REAR_DAMP_REBOUND,3174.3201
suspensions_REAR_DAMP_FAST_REBOUND,934.26723
tyres_FRONT_PRESSURE_STATIC,15.35652
tyres_REAR_PRESSURE_STATIC,16.45031
