parameter,value
brakes_DATA_MAX_TORQUE,537.8382
brakes_DATA_FRONT_SHARE,0.55979
drivetrain_DIFFERENTIAL_POWER,0.61792
drivetrain_DIFFERENTIAL_COAST,0.63076
drivetrain_DIFFERENTIAL_PRELOAD,18.33976
suspensions_BASIC_WHEELBASE,1.65384
suspensions_BASIC_CG_LOCATION,0.5328
suspensions_ARB_FRONT,128138.01588
suspensions_ARB_REAR,88037.87544
suspensions_FRONT_TRACK,1.07087
suspensions_FRONT_ROD_LENGTH,0.01453
suspensions_FRONT_TOE_OUT,-0.00019
suspensions_FRONT_STATIC_CAMBER,-2.56112
suspensions_FRONT_SPRING_RATE,30788.95876
suspensions_FRONT_BUMP_STOP_RATE,186243.41792
suspensions_FRONT_PACKER_RANGE,0.06236
suspensions_FRONT_DAMP_BUMP,1076.13194
suspensions_FRONT_DAMP_FAST_BUMP,883.01528
suspensions_FRONT_DAMP_REBOUND,3264.31824
suspensions_FRONT_DAMP_FAST_REBOUND,3419.79389
suspensions_REAR_TRACK,1.31362
suspensions_REAR_ROD_LENGTH,0.00558
suspensions_REAR_TOE_OUT,0.00294
suspensions_REAR_STATIC_CAMBER,0.1115
suspensions_REAR_SPRING_RATE,27124.98655
suspensions_REAR_BUMP_STOP_RATE,77258.15351
suspensions_REAR_PACKER_RANGE,0.07734
suspensions_REAR_DAMP_BUMP,1146.32934
suspensions_REAR_DAMP_FAST_BUMP,1149.20761
suspensions_REAR_DAMP_REBOUND,1838.64977
suspensions_REAR_DAMP_FAST_REBOUND,578.64364
tyres_FRONT_PRESSURE_STATIC,18.34174
tyres_REAR_PRESSURE_STATIC,16.51761
