parameter,value
brakes_DATA_MAX_TORQUE,593.97894
brakes_DATA_FRONT_SHARE,0.53671
drivetrain_DIFFERENTIAL_POWER,0.19168
drivetrain_DIFFERENTIAL_COAST,0.57824
drivetrain_DIFFERENTIAL_PRELOAD,5.1364
suspensions_BASIC_WHEELBASE,1.64448
suspensions_BASIC_CG_LOCATION,0.37203
suspensions_ARB_FRONT,59958.02781
suspensions_ARB_REAR,122619.79812
suspensions_FRONT_TRACK,1.36135
suspensions_FRONT_ROD_LENGTH,0.01611
suspensions_FRONT_TOE_OUT,0.00184
suspensions_FRONT_STATIC_CAMBER,-1.35361
suspensions_FRONT_SPRING_RATE,27518.84221
suspensions_FRONT_BUMP_STOP_RATE,108935.79353
suspensions_FRONT_PACKER_RANGE,0.06842
suspensions_FRONT_DAMP_BUMP,1270.1265
suspensions_FRONT_DAMP_FAST_BUMP,3187.50235
suspensions_FRONT_DAMP_REBOUND,3773.94707
suspensions_FRONT_DAMP_FAST_REBOUND,613.70753
suspensions_REAR_TRACK,1.20405
suspensions_REAR_ROD_LENGTH,0.00022
suspensions_REAR_TOE_OUT,0.00081
suspensions_REAR_STATIC_CAMBER,-2.7825
suspensions_REAR_SPRING_RATE,56806.69369
suspensions_REAR_BUMP_STOP_RATE,91781.24086
suspensions_REAR_PACKER_RANGE,0.11991
suspensions_REAR_DAMP_BUMP,2740.80924
suspensions_REAR_DAMP_FAST_BUMP,553.62396
suspensions_REAR_DAMP_REBOUND,2495.47733
suspensions_REAR_DAMP_FAST_REBOUND,688.95299
tyres_FRONT_PRESSURE_STATIC,6.82856
tyres_REAR_PRESSURE_STATIC,14.24009
