parameter,value
brakes_DATA_MAX_TORQUE,404.42352
brakes_DATA_FRONT_SHARE,0.79661
drivetrain_DIFFERENTIAL_POWER,0.03216
drivetrain_DIFFERENTIAL_COAST,0.98718
drivetrain_DIFFERENTIAL_PRELOAD,11.88194
suspensions_BASIC_WHEELBASE,1.53666
suspensions_BASIC_CG_LOCATION,0.35926
suspensions_ARB_FRONT,33164.51917
suspensions_ARB_REAR,82222.49951
suspensions_FRONT_TRACK,1.02923
suspensions_FRONT_ROD_LENGTH,0.00934
suspensions_FRONT_TOE_OUT,0.00187
suspensions_FRONT_STATIC_CAMBER,-1.47477
suspensions_FRONT_SPRING_RATE,25618.61268
suspensions_FRONT_BUMP_STOP_RATE,80022.56836
suspensions_FRONT_PACKER_RANGE,0.08708
suspensions_FRONT_DAMP_BUMP,1106.60763
suspensions_FRONT_DAMP_FAST_BUMP,669.39464
suspensions_FRONT_DAMP_REBOUND,2880.18688
suspensions_FRONT_DAMP_FAST_REBOUND,1569.3793
suspensions_REAR_TRACK,1.20082
suspensions_REAR_ROD_LENGTH,0.02787
suspensions_REAR_TOE_OUT,0.00198
suspensions_REAR_STATIC_CAMBER,-2.95459
suspensions_REAR_SPRING_RATE,49572.1611
suspensions_REAR_BUMP_STOP_RATE,185321.17931
suspensions_REAR_PACKER_RANGE,0.04732
suspensions_REAR_DAMP_BUMP,2724.23921
suspensions_REAR_DAMP_FAST_BUMP,1405.26667
suspensions_REAR_DAMP_REBOUND,2039.76508
suspensions_REAR_DAMP_FAST_REBOUND,633.0731
tyres_FRONT_PRESSURE_STATIC,11.28374
tyres_REAR_PRESSURE_STATIC,15.85567
