parameter,value
brakes_DATA_MAX_TORQUE,584.97838
brakes_DATA_FRONT_SHARE,0.68159
drivetrain_DIFFERENTIAL_POWER,0.04899
drivetrain_DIFFERENTIAL_COAST,0.25441
drivetrain_DIFFERENTIAL_PRELOAD,11.56795
suspensions_BASIC_WHEELBASE,1.64804
suspensions_BASIC_CG_LOCATION,0.42788
suspensions_ARB_FRONT,107461.69122
suspensions_ARB_REAR,116229.74284
suspensions_FRONT_TRACK,1.22661
suspensions_FRONT_ROD_LENGTH,0.01533
suspensions_FRONT_TOE_OUT,-0.00028
suspensions_FRONT_STATIC_CAMBER,-2.16493
suspensions_FRONT_SPRING_RATE,20397.80116
suspensions_FRONT_BUMP_STOP_RATE,158842.11556
suspensions_FRONT_PACKER_RANGE,0.11123
suspensions_FRONT_DAMP_BUMP,1953.36715
suspensions_FRONT_DAMP_FAST_BUMP,1579.82634
suspensions_FRONT_DAMP_REBOUND,2076.67589
suspensions_FRONT_DAMP_FAST_REBOUND,2431.08915
suspensions_REAR_TRACK,1.28738
suspensions_REAR_ROD_LENGTH,0.02285
suspensions_REAR_TOE_OUT,0.00317
suspensions_REAR_STATIC_CAMBER,-1.7086
suspensions_REAR_SPRING_RATE,56670.77262
suspensions_REAR_BUMP_STOP_RATE,104990.04453
suspensions_REAR_PACKER_RANGE,0.10876
suspensions_REAR_DAMP_BUMP,1198.9936
suspensions_REAR_DAMP_FAST_BUMP,503.80323
suspensions_REAR_DAMP_REBOUND,2101.67425
suspensions_REAR_DAMP_FAST_REBOUND,1153.26332
tyres_FRONT_PRESSURE_STATIC,15.86391
tyres_REAR_PRESSURE_STATIC,11.37812
