parameter,value
brakes_DATA_MAX_TORQUE,500.72475
brakes_DATA_FRONT_SHARE,0.68583
drivetrain_DIFFERENTIAL_POWER,0.35591
drivetrain_DIFFERENTIAL_COAST,0.23782
drivetrain_DIFFERENTIAL_PRELOAD,12.57652
suspensions_BASIC_WHEELBASE,1.65547
suspensions_BASIC_CG_LOCATION,0.55218
suspensions_ARB_FRONT,117788.48068
suspensions_ARB_REAR,117165.02169
suspensions_FRONT_TRACK,1.2458
suspensions_FRONT_ROD_LENGTH,0.01677
suspensions_FRONT_TOE_OUT,0.00149
suspensions_FRONT_STATIC_CAMBER,-2.66994
suspensions_FRONT_SPRING_RATE,35858.45434
suspensions_FRONT_BUMP_STOP_RATE,60063.74528
suspensions_FRONT_PACKER_RANGE,0.05177
suspensions_FRONT_DAMP_BUMP,1904.55042
suspensions_FRONT_DAMP_FAST_BUMP,1186.03634
suspensions_FRONT_DAMP_REBOUND,3123.47153
suspensions_FRONT_DAMP_FAST_REBOUND,1826.81991
suspensions_REAR_TRACK,1.25568
suspensions_REAR_ROD_LENGTH,0.01815
suspensions_REAR_TOE_OUT,-0.00056
suspensions_REAR_STATIC_CAMBER,0.17753
suspensions_REAR_SPRING_RATE,32230.1143
suspensions_REAR_BUMP_STOP_RATE,100161.96035
suspensions_REAR_PACKER_RANGE,0.04829
suspensions_REAR_DAMP_BUMP,1398.79024
suspensions_REAR_DAMP_FAST_BUMP,3318.92571
suspensions_REAR_DAMP_REBOUND,4037.67281
suspensions_REAR_DAMP_FAST_REBOUND,1879.33195
tyres_FRONT_PRESSURE_STATIC,9.42231
tyres_REAR_PRESSURE_STATIC,12.76861
