parameter,value
brakes_DATA_MAX_TORQUE,747.10214
brakes_DATA_FRONT_SHARE,0.54059
drivetrain_DIFFERENTIAL_POWER,0.81374
drivetrain_DIFFERENTIAL_COAST,0.76765
drivetrain_DIFFERENTIAL_PRELOAD,23.93309
suspensions_BASIC_WHEELBASE,1.78919
suspensions_BASIC_CG_LOCATION,0.44313
suspensions_ARB_FRONT,63960.03266
suspensions_ARB_REAR,42089.2595
suspensions_FRONT_TRACK,1.04784
suspensions_FRONT_ROD_LENGTH,0.00819
suspensions_FRONT_TOE_OUT,-0.00052
suspensions_FRONT_STATIC_CAMBER,-2.25263
suspensions_FRONT_SPRING_RATE,36843.89156
suspensions_FRONT_BUMP_STOP_RATE,190365.5004
suspensions_FRONT_PACKER_RANGE,0.09848
suspensions_FRONT_DAMP_BUMP,3459.73274
suspensions_FRONT_DAMP_FAST_BUMP,1330.54508
suspensions_FRONT_DAMP_REBOUND,3390.31466
suspensions_FRONT_DAMP_FAST_REBOUND,2481.59019
suspensions_REAR_TRACK,1.33054
suspensions_REAR_ROD_LENGTH,0.00347
suspensions_REAR_TOE_OUT,0.00195
suspensions_REAR_STATIC_CAMBER,-1.38983
suspensions_REAR_SPRING_RATE,46101.47134
suspensions_REAR_BUMP_STOP_RATE,97334.35611
suspensions_REAR_PACKER_RANGE,0.11343
suspensions_REAR_DAMP_BUMP,3291.32524
suspensions_REAR_DAMP_FAST_BUMP,1261.911
suspensions_REAR_DAMP_REBOUND,4101.7648
suspensions_REAR_DAMP_FAST_REBOUND,2926.57179
tyres_FRONT_PRESSURE_STATIC,7.58017
tyres_REAR_PRESSURE_STATIC,15.57597
