parameter,value
brakes_DATA_MAX_TORQUE,752.08315
brakes_DATA_FRONT_SHARE,0.75881
drivetrain_DIFFERENTIAL_POWER,0.30576
drivetrain_DIFFERENTIAL_COAST,0.89537
drivetrain_DIFFERENTIAL_PRELOAD,7.97927
suspensions_BASIC_WHEELBASE,1.55328
suspensions_BASIC_CG_LOCATION,0.38959
suspensions_ARB_FRONT,64554.31918
suspensions_ARB_REAR,101613.56953
suspensions_FRONT_TRACK,1.15552
suspensions_FRONT_ROD_LENGTH,0.02445
suspensions_FRONT_TOE_OUT,0.00021
suspensions_FRONT_STATIC_CAMBER,-0.12679
suspensions_FRONT_SPRING_RATE,27975.76718
suspensions_FRONT_BUMP_STOP_RATE,147800.72459
suspensions_FRONT_PACKER_RANGE,0.05047
suspensions_FRONT_DAMP_BUMP,2500.95846
suspensions_FRONT_DAMP_FAST_BUMP,1005.27419
suspensions_FRONT_DAMP_REBOUND,1811.34167
suspensions_FRONT_DAMP_FAST_REBOUND,549.66313
suspensions_REAR_TRACK,1.05849
suspensions_REAR_ROD_LENGTH,0.01806
suspensions_REAR_TOE_OUT,-5e-05
suspensions_REAR_STATIC_CAMBER,-0.58362
suspensions_REAR_SPRING_RATE,41686.70293
suspensions_REAR_BUMP_STOP_RATE,70652.92167
suspensions_REAR_PACKER_RANGE,0.11752
suspensions_REAR_DAMP_BUMP,1571.2642
suspensions_REAR_DAMP_FAST_BUMP,790.0834
suspensions_REAR_DAMP_REBOUND,4475.43916
suspensions_REAR_DAMP_FAST_REBOUND,3158.38842
tyres_FRONT_PRESSURE_STATIC,15.86859
tyres_REAR_PRESSURE_STATIC,19.8595
