parameter,value
brakes_DATA_MAX_TORQUE,576.93504
brakes_DATA_FRONT_SHARE,0.617
drivetrain_DIFFERENTIAL_POWER,0.19107
drivetrain_DIFFERENTIAL_COAST,0.34379
drivetrain_DIFFERENTIAL_PRELOAD,5.14274
suspensions_BASIC_WHEELBASE,1.78803
suspensions_BASIC_CG_LOCATION,0.51131
suspensions_ARB_FRONT,124043.0707
suspensions_ARB_REAR,126059.60866
suspensions_FRONT_TRACK,1.05304
suspensions_FRONT_ROD_LENGTH,0.02931
suspensions_FRONT_TOE_OUT,0.00143
suspensions_FRONT_STATIC_CAMBER,-2.46511
suspensions_FRONT_SPRING_RATE,22849.20998
suspensions_FRONT_BUMP_STOP_RATE,145648.27876
suspensions_FRONT_PACKER_RANGE,0.10959
suspensions_FRONT_DAMP_BUMP,1114.0672
suspensions_FRONT_DAMP_FAST_BUMP,925.04749
suspensions_FRONT_DAMP_REBOUND,3197.62937
suspensions_FRONT_DAMP_FAST_REBOUND,3109.36711
suspensions_REAR_TRACK,1.34056
suspensions_REAR_ROD_LENGTH,0.02798
suspensions_REAR_TOE_OUT,0.00274
suspensions_REAR_STATIC_CAMBER,-1.47251
suspensions_REAR_SPRING_RATE,28835.06241
suspensions_REAR_BUMP_STOP_RATE,69424.86003
suspensions_REAR_PACKER_RANGE,0.07744
suspensions_REAR_DAMP_BUMP,2167.87607
suspensions_REAR_DAMP_FAST_BUMP,3452.00436
suspensions_REAR_DAMP_REBOUND,3352.92147
suspensions_REAR_DAMP_FAST_REBOUND,2952.4411
tyres_FRONT_PRESSURE_STATIC,9.23417
tyres_REAR_PRESSURE_STATIC,16.31221
