parameter,value
brakes_DATA_MAX_TORQUE,584.30306
brakes_DATA_FRONT_SHARE,0.62299
drivetrain_DIFFERENTIAL_POWER,0.59812
drivetrain_DIFFERENTIAL_COAST,0.2035
drivetrain_DIFFERENTIAL_PRELOAD,9.31466
suspensions_BASIC_WHEELBASE,1.702
suspensions_BASIC_CG_LOCATION,0.43102
suspensions_ARB_FRONT,147372.68971
suspensions_ARB_REAR,95120.98908
suspensions_FRONT_TRACK,1.29405
suspensions_FRONT_ROD_LENGTH,0.01885
suspensions_FRONT_TOE_OUT,0.00392
suspensions_FRONT_STATIC_CAMBER,-0.00571
suspensions_FRONT_SPRING_RATE,27295.52946
suspensions_FRONT_BUMP_STOP_RATE,97403.7058
suspensions_FRONT_PACKER_RANGE,0.06244
suspensions_FRONT_DAMP_BUMP,1801.32362
suspensions_FRONT_DAMP_FAST_BUMP,2373.17428
suspensions_FRONT_DAMP_REBOUND,1721.14482
suspensions_FRONT_DAMP_FAST_REBOUND,2772.76413
suspensions_REAR_TRACK,1.33264
suspensions_REAR_ROD_LENGTH,0.00377
suspensions_REAR_TOE_OUT,0.00051
suspensions_REAR_STATIC_CAMBER,-1.31706
suspensions_REAR_SPRING_RATE,60998.97252
suspensions_REAR_BUMP_STOP_RATE,161496.07305
suspensions_REAR_PACKER_RANGE,0.04228
suspensions_REAR_DAMP_BUMP,2630.01171
suspensions_REAR_DAMP_FAST_BUMP,3285.23922
suspensions_REAR_DAMP_REBOUND,2698.66745
suspensions_REAR_DAMP_FAST_REBOUND,944.38617
tyres_FRONT_PRESSURE_STATIC,18.33393
tyres_REAR_PRESSURE_STATIC,16.79474
