,WorldPosition_X,WorldPosition_Z
185,-45.4916153,59.58934784
186,-45.4916153,59.58934402
187,-45.4916153,59.58934021
188,-45.4916153,59.58933258
189,-45.4916153,59.58932877
190,-45.4916153,59.58932495
191,-45.4916153,59.58932114
192,-45.4916153,59.58931732
193,-45.4916153,59.58930969
194,-45.4916153,59.58930588
195,-45.4916153,59.58929825
196,-45.4916153,59.58929825
197,-45.4916153,59.58929443
198,-45.4916153,59.58929443
199,-45.4916153,59.58929062
200,-45.4916153,59.58928299
201,-45.4916153,59.58927917
202,-45.4916153,59.58927155
203,-45.4916153,59.58927155
204,-45.4916153,59.58926392
205,-45.4916153,59.5892601
206,-45.4916153,59.58925247
207,-45.4916153,59.58924866
208,-45.4916153,59.58924484
209,-45.49161911,59.5892334
210,-45.49161911,59.58921432
211,-45.49161911,59.5892067
212,-45.49161911,59.58919907
213,-45.49161911,59.58919525
214,-45.49161911,59.58919144
215,-45.49161911,59.58918762
216,-45.49161911,59.58918381
217,-45.49161911,59.58917618
218,-45.49161911,59.58917236
219,-45.49161911,59.58916473
220,-45.49161911,59.58916092
221,-45.49161911,59.58916092
222,-45.49161911,59.5891571
223,-45.49161911,59.58915329
224,-45.49161911,59.58914566
225,-45.49161911,59.58914566
226,-45.49161911,59.58913803
227,-45.49161911,59.58913803
228,-45.49161911,59.5891304
229,-45.49161911,59.5891304
230,-45.49161911,59.58912659
231,-45.49161911,59.58911896
232,-45.49161911,59.58911133
233,-45.49161911,59.58910751
234,-45.49161911,59.58909988
235,-45.49161911,59.58909988
236,-45.49161911,59.58909225
237,-45.49161911,59.58908463
238,-45.49161911,59.58908463
239,-45.49161911,59.58908463
240,-45.49161911,59.589077
241,-45.49161911,59.58906555
242,-45.49161911,59.58906174
243,-45.49161911,59.58905411
244,-45.49161911,59.58905411
245,-45.49161911,59.58904266
246,-45.49161911,59.58903885
247,-45.49161911,59.58903503
248,-45.49161911,59.58903503
249,-45.49161911,59.58903122
250,-45.49161911,59.58903122
251,-45.49161911,59.58903122
252,-45.49162292,59.58901978
253,-45.49162292,59.58901215
254,-45.49162292,59.58901215
255,-45.49162292,59.58900452
256,-45.49162292,59.58899689
257,-45.49162292,59.58899689
258,-45.49162292,59.58898926
259,-45.49162292,59.58898926
260,-45.49162292,59.58898926
261,-45.49162292,59.58898926
262,-45.49162292,59.58898926
263,-45.49162292,59.58898163
264,-45.49162674,59.58897018
265,-45.49162674,59.58896255
266,-45.49162674,59.58896255
267,-45.49162674,59.58895493
268,-45.49162674,59.58895493
269,-45.49162674,59.58895111
270,-45.49162674,59.58894348
271,-45.49162674,59.58894348
272,-45.49162674,59.58893585
273,-45.49162674,59.58893585
274,-45.49162674,59.58892441
275,-45.49162674,59.58892441
276,-45.49162674,59.58892441
277,-45.49162674,59.58891678
278,-45.49162674,59.58890915
279,-45.49162674,59.58890152
280,-45.49162674,59.58889771
281,-45.49162674,59.58889008
282,-45.49162674,59.58888626
283,-45.49162674,59.58888626
284,-45.49162674,59.58888245
285,-45.49162674,59.58888245
286,-45.49162674,59.58887863
287,-45.49162674,59.588871
288,-45.49162674,59.58886719
289,-45.49162674,59.58885956
290,-45.49162674,59.58885956
291,-45.49162674,59.58885193
292,-45.49163055,59.58884811
293,-45.49163055,59.58883667
294,-45.49163055,59.58882904
295,-45.49163055,59.58882141
296,-45.49163055,59.5888176
297,-45.49163055,59.58880997
298,-45.49163055,59.58880997
299,-45.49163055,59.58880997
300,-45.49163055,59.58880997
301,-45.49163055,59.58880997
302,-45.49163055,59.58880615
303,-45.49163055,59.58879852
304,-45.49163055,59.58879471
305,-45.49163055,59.58879089
306,-45.49163055,59.58879089
307,-45.49163437,59.58878326
308,-45.49163437,59.58877182
309,-45.49163437,59.58876801
310,-45.49163437,59.58876801
311,-45.49163437,59.58875656
312,-45.49163437,59.58875656
313,-45.49163437,59.58875275
314,-45.49163437,59.58874893
315,-45.49163437,59.58874512
316,-45.4915657,59.58869934
317,-45.49085236,59.5881424
318,-45.49110413,59.58683395
319,-45.49147034,59.58497238
320,-45.49244308,59.58213806
321,-45.49377441,59.57783508
322,-45.49536133,59.57168579
323,-45.49752045,59.56328964
324,-45.50022125,59.55323029
325,-45.50460434,59.53759003
326,-45.50961304,59.51913452
327,-45.5154953,59.49607849
328,-45.52166748,59.47080231
329,-45.52856064,59.44216156
330,-45.53588104,59.41330338
331,-45.54298782,59.3842392
332,-45.54964828,59.35471344
333,-45.5565033,59.32510376
334,-45.56423569,59.29557037
335,-45.57247162,59.26396561
336,-45.57970047,59.23260117
337,-45.58778,59.19535828
338,-45.5959816,59.1555481
339,-45.60506439,59.11321259
340,-45.61450958,59.06808472
341,-45.62599564,59.02001572
342,-45.63808441,58.97038269
343,-45.64965439,58.91583633
344,-45.66125488,58.86561966
345,-45.67348099,58.81457138
346,-45.68371201,58.76679611
347,-45.69505692,58.71248627
348,-45.70708466,58.6559639
349,-45.71950912,58.59663391
350,-45.73276138,58.53385925
351,-45.74555206,58.47319031
352,-45.7598877,58.40179443
353,-45.77458954,58.32513428
354,-45.78832626,58.25274658
355,-45.80374527,58.17050171
356,-45.81999207,58.08549118
357,-45.83580017,57.99766541
358,-45.84880066,57.9153862
359,-45.86182404,57.82244492
360,-45.87508011,57.72764206
361,-45.88803101,57.63936996
362,-45.90321732,57.54094696
