Output_File,AvgSlip,AvgLap
VLoutput0_00.csv,2.5274188989169677e-05,40611.333333333336
VLoutput0_01.csv,-0.00019098734251984858,41226.7
VLoutput0_02.csv,9.890271802487249e-05,41941.28571428572
VLoutput0_03.csv,0.0002486145606479079,40591.71428571428
VLoutput0_04.csv,,42124.75
VLoutput0_05.csv,0.00014585094828096327,41843.5
VLoutput0_06.csv,-0.00013064247138939989,40782.666666666664
VLoutput0_07.csv,-0.0002031606040616358,40895.0
VLoutput0_08.csv,0.00015427580851992633,41633.333333333336
VLoutput0_09.csv,-0.00011095102514098158,41985.125
VLoutput0_10.csv,-3.9911691789273874e-05,40010.5
VLoutput0_11.csv,-6.021427646976006e-05,40448.42857142857
VLoutput0_12.csv,-5.252701382277377e-05,40122.25
VLoutput0_13.csv,0.00013004980184523545,41372.666666666664
VLoutput0_14.csv,-9.061110737420929e-05,46287.142857142855
VLoutput0_15.csv,-3.356663234619462e-05,41684.0
VLoutput0_16.csv,-7.126369054391071e-05,39988.2
VLoutput0_17.csv,-0.00013963666875649444,41787.5
VLoutput0_18.csv,-9.705590875997799e-05,40736.2
VLoutput0_19.csv,-0.0002228381692502936,43912.57142857143
VLoutput0_20.csv,-0.0004815522625100103,40070.42857142857
VLoutput0_21.csv,0.00015000111084634206,41570.6
VLoutput0_22.csv,-0.00018665234817596537,47500.88888888889
VLoutput0_23.csv,0.00015374404942538572,41481.5
VLoutput0_24.csv,-1.4882129315861422e-05,40830.27272727273
VLoutput0_25.csv,-8.664043010369967e-05,41268.0
VLoutput0_26.csv,-0.00015383072758821955,42067.25
VLoutput0_27.csv,-0.0004382646903682668,40711.8
VLoutput0_28.csv,0.00015809414882306418,42863.42857142857
VLoutput0_29.csv,-5.618388502701926e-05,41388.9
VLoutput0_30.csv,0.00013405733131212303,41825.6
VLoutput0_31.csv,-0.00014461079275678823,43853.166666666664
VLoutput0_32.csv,-4.707270646974383e-06,41475.166666666664
VLoutput0_33.csv,0.00012485410086591093,41096.0
VLoutput0_34.csv,0.00010538956599180918,41336.72727272727
VLoutput0_35.csv,-0.00025208802162846435,40078.444444444445
VLoutput0_36.csv,2.4051003057542355e-05,40763.125
VLoutput0_37.csv,0.00014461660872523672,40872.42857142857
VLoutput0_38.csv,-9.306033190851968e-05,41008.22222222222
VLoutput0_39.csv,0.00011922149340689464,46706.0
VLoutput0_40.csv,-5.6852050011734477e-05,40752.166666666664
VLoutput0_41.csv,-7.239993148780626e-05,47815.5
VLoutput0_42.csv,-0.00040485967226773045,42327.25
VLoutput0_43.csv,1.160412829461857e-05,41441.8
VLoutput0_44.csv,-0.00037394333609373483,41023.0
VLoutput0_45.csv,4.906758770469078e-05,40747.333333333336
VLoutput0_46.csv,3.670483441620451e-05,41739.0
VLoutput0_48.csv,7.99175682772015e-05,42062.77777777778
VLoutput0_49.csv,-6.621793233339466e-05,41662.63636363636
VLoutput1_01.csv,3.220578869618935e-05,41124.05263157895
VLoutput1_02.csv,1.953634138227924e-05,40792.0
VLoutput1_03.csv,6.098313081212614e-05,42669.357142857145
VLoutput1_04.csv,2.7959353911641222e-05,40326.0
VLoutput1_05.csv,-7.833213909714399e-06,41426.46153846154
VLoutput1_06.csv,8.158857081707649e-05,43156.42857142857
VLoutput1_07.csv,-4.355771197930006e-05,41557.444444444445
VLoutput1_08.csv,-1.4906730882099301e-05,41436.86666666667
VLoutput1_09.csv,6.394061050091939e-05,42473.89473684211
VLoutput1_10.csv,-0.000159958590116609,41385.15789473684
VLoutput1_11.csv,5.518822703252134e-05,43514.15789473684
VLoutput1_12.csv,,41352.07692307692
VLoutput1_13.csv,-0.0001795254477760523,44456.09090909091
VLoutput1_14.csv,-0.00011288004409599293,40630.63636363636
VLoutput1_15.csv,3.619217089114359e-05,40456.88888888889
VLoutput1_16.csv,3.826503187940169e-05,40840.27777777778
VLoutput1_17.csv,0.0001554769897470268,40544.07692307692
VLoutput1_18.csv,5.6860571593698264e-05,41263.4
VLoutput1_19.csv,8.779979889420553e-05,40773.77777777778
VLoutput1_20.csv,3.567890607345675e-05,43899.8
VLoutput1_21.csv,-1.0286253785581107e-05,40651.17647058824
VLoutput1_22.csv,-0.00023415519126632873,41608.8
VLoutput1_23.csv,-0.00010328403587236867,44544.53846153846
VLoutput1_24.csv,-8.443817627131914e-05,41562.5
VLoutput1_25.csv,-2.605845080181048e-06,43965.8125
VLoutput1_26.csv,3.3171542863201506e-05,40192.46153846154
VLoutput1_27.csv,-0.00013240843248561864,41891.76470588235
VLoutput1_28.csv,2.4740359304288525e-05,40862.13636363636
VLoutput1_29.csv,4.314199065911548e-05,40447.0
VLoutput1_30.csv,-3.521238462202145e-05,40636.0625
VLoutput1_31.csv,-0.00012615200346815736,40073.92307692308
