Output_File,AvgSlip,AvgLap
VLoutput0_00.csv,-2.2081168481717204,40611.333333333336
VLoutput0_01.csv,-1.7939172224135678,41226.7
VLoutput0_02.csv,-1.8758123529885293,41941.28571428572
VLoutput0_03.csv,-2.4035072097290393,40591.71428571428
VLoutput0_04.csv,,42124.75
VLoutput0_05.csv,-1.9039414632601435,41843.5
VLoutput0_06.csv,-1.3308004969146265,40782.666666666664
VLoutput0_07.csv,-1.6633834462619055,40895.0
VLoutput0_08.csv,-1.8524895890448823,41633.333333333336
VLoutput0_09.csv,-1.9201473569272378,41985.125
VLoutput0_10.csv,-2.4262703704941524,40010.5
VLoutput0_11.csv,-1.6741967189391669,40448.42857142857
VLoutput0_12.csv,-1.8740885225115917,40122.25
VLoutput0_13.csv,-1.4934420743145547,41372.666666666664
VLoutput0_14.csv,-1.7438123960899046,46287.142857142855
VLoutput0_15.csv,-2.1270565689933374,41684.0
VLoutput0_16.csv,-2.090586391419811,39988.2
VLoutput0_17.csv,-1.853210959728438,41787.5
VLoutput0_18.csv,-1.6347565848960588,40736.2
VLoutput0_19.csv,-1.8367409646380308,43912.57142857143
VLoutput0_20.csv,-2.777708765957305,40070.42857142857
VLoutput0_21.csv,-1.8707354657936512,41570.6
VLoutput0_22.csv,-1.3583390665608415,47500.88888888889
VLoutput0_23.csv,-2.7551674394332846,41481.5
VLoutput0_24.csv,-2.0605422470565355,40830.27272727273
VLoutput0_25.csv,-2.1229974623554213,41268.0
VLoutput0_26.csv,-1.6068813975654974,42067.25
VLoutput0_27.csv,-1.9049751925452767,40711.8
VLoutput0_28.csv,-1.6596285523510765,42863.42857142857
VLoutput0_29.csv,-1.606863093993761,41388.9
VLoutput0_30.csv,-2.1672224199655075,41825.6
VLoutput0_31.csv,-1.9965665534930326,43853.166666666664
VLoutput0_32.csv,-1.8692220597284501,41475.166666666664
VLoutput0_33.csv,-2.636040644876126,41096.0
VLoutput0_34.csv,-2.0642242679948106,41336.72727272727
VLoutput0_35.csv,-1.8124342007722676,40078.444444444445
VLoutput0_36.csv,-1.860826433130516,40763.125
VLoutput0_37.csv,-1.7824018446880197,40872.42857142857
VLoutput0_38.csv,-2.072407703458782,41008.22222222222
VLoutput0_39.csv,-1.4672354109993928,46706.0
VLoutput0_40.csv,-2.924425774155272,40752.166666666664
VLoutput0_41.csv,-1.7474587868645997,47815.5
VLoutput0_42.csv,-1.869304590423633,42327.25
VLoutput0_43.csv,-1.7819302538569388,41441.8
VLoutput0_44.csv,-1.5648645490299882,41023.0
VLoutput0_45.csv,-1.9259822025512985,40747.333333333336
VLoutput0_46.csv,-1.5672181884417355,41739.0
VLoutput0_48.csv,-1.7674258116944643,42062.77777777778
VLoutput0_49.csv,-1.3665731044040665,41662.63636363636
VLoutput1_01.csv,-2.4245198309847416,41124.05263157895
VLoutput1_02.csv,-1.746178928627593,40792.0
VLoutput1_03.csv,-1.8241550258770787,42669.357142857145
VLoutput1_04.csv,-1.9776725169180172,40326.0
VLoutput1_05.csv,-2.0412895871477614,41426.46153846154
VLoutput1_06.csv,-2.459596441247493,43156.42857142857
VLoutput1_07.csv,-1.3620809395217508,41557.444444444445
VLoutput1_08.csv,-2.2815313569190914,41436.86666666667
VLoutput1_09.csv,-1.7340634579137038,42473.89473684211
VLoutput1_10.csv,-2.640494286187507,41385.15789473684
VLoutput1_11.csv,-1.3129893573853042,43514.15789473684
VLoutput1_12.csv,,41352.07692307692
VLoutput1_13.csv,-1.5243995966499253,44456.09090909091
VLoutput1_14.csv,-1.8505487760111194,40630.63636363636
VLoutput1_15.csv,-2.2412172422992005,40456.88888888889
VLoutput1_16.csv,-2.7356831441669294,40840.27777777778
VLoutput1_17.csv,-2.6785617171000498,40544.07692307692
VLoutput1_18.csv,-0.6000028114216971,41263.4
VLoutput1_19.csv,-1.6500332271843103,40773.77777777778
VLoutput1_20.csv,-1.4701836910941168,43899.8
VLoutput1_21.csv,-2.2802703592788136,40651.17647058824
VLoutput1_22.csv,-2.2949924299430315,41608.8
VLoutput1_23.csv,-2.0498755940241815,44544.53846153846
VLoutput1_24.csv,-1.660303838120312,41562.5
VLoutput1_25.csv,-1.716836724499933,43965.8125
VLoutput1_26.csv,-1.8139651258567067,40192.46153846154
VLoutput1_27.csv,-1.2329571586203376,41891.76470588235
VLoutput1_28.csv,-1.204619969410934,40862.13636363636
VLoutput1_29.csv,-2.2584693862854097,40447.0
VLoutput1_30.csv,-2.318195986742745,40636.0625
VLoutput1_31.csv,-1.6219214055231899,40073.92307692308
